"leitura","identidade","id_mandato","id_pessoa","sg_uf","fonte_atual","data_fim_atual","cargo_a","municipio_a","ano_a","nome_a","nasc_a","cargo_b","municipio_b","ano_b","nome_b","nasc_b","id_mandato_b","posse_b","data_posse_b","exercicio_b","fonte_exercicio_b","forma_b","mesmo_cpf","mesmo_titulo","mesmo_nasc","mesmo_nome","sapl_registros","sapl_titular","sapl_fim","sapl_legislatura_fim","sapl_afastamento","sapl_observacao","sapl_url","fim_da_casa_convencional"
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2010_PB_7_15221_150000000360","BOCEL0052812","PB","assembleia_api","2015-01-31","DEPUTADO ESTADUAL","PARAÍBA","2010","FRANCISCA GOMES ARAUJO MOTTA","18/05/1941","PREFEITO","PATOS","2012","FRANCISCA GOMES ARAUJO MOTTA","18/05/1941","M2012_21172_11_15_150000010711","2013-01-01","2013-01-01","2013-12-31","ibge_munic;ibge_munic_ampliado","fim_regular",TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2010_PB_7_15789_150000000354","BOCEL0093492","PB","assembleia_api","2015-01-31","DEPUTADO ESTADUAL","PARAÍBA","2010","ANDRE AVELINO DE PAIVA GADELHA NETO","10/04/1975","PREFEITO","SOUSA","2012","ANDRE AVELINO DE PAIVA GADELHA NETO","10/04/1975","M2012_22250_11_15_150000005802","2013-01-01","2013-01-01","2016-08-15","ibge_munic;tse_reeleicao;ibge_munic_ampliado","fim_regular",TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_20516_13_28222_150000004389","BOCEL0130488","PB","sapl_municipal","2020-12-31","VEREADOR","JOÃO PESSOA","2016","EDUARDO JORGE SOARES CARNEIRO","14/09/1983","DEPUTADO ESTADUAL","PARAÍBA","2018","EDUARDO JORGE SOARES CARNEIRO","14/09/1983","M2018_PB_7_28222_150000615765","2019-02-01","2019-02-01","2022-08-15","tse_reeleicao","fim_regular",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2020-12-31","2020-12-31","","","https://sapl.joaopessoa.pb.leg.br/api/parlamentares/mandato/516/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2020_20516_13_70222_150000737279","BOCEL0101516","PB","sapl_municipal","2024-12-31","VEREADOR","JOÃO PESSOA","2020","TANILSON TARSO NOBREGA SOARES","12/07/1976","DEPUTADO ESTADUAL","PARAÍBA","2022","TANILSON TARSO NOBREGA SOARES","12/07/1976","M2022_PB_7_40222_150001621658","2023-02-01","2023-02-01",NA,NA,"nao_observado",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2024-12-31","2024-12-31","","","https://sapl.joaopessoa.pb.leg.br/api/parlamentares/mandato/548/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2004_58670_13_45625_219","BOCEL0174414","RJ","sapl_municipal","2008-12-31","VEREADOR","NOVA FRIBURGO","2004","PEDRO ROGERIO VIEIRA CABRAL","29/06/1962","DEPUTADO ESTADUAL","RIO DE JANEIRO","2006","PEDRO ROGERIO VIEIRA CABRAL","29/06/1962","M2006_RJ_7_40233_10984","2007-02-01","2007-02-01",NA,NA,"nao_observado",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2008-12-31","2008-12-31","","","https://sapl.novafriburgo.rj.leg.br/api/parlamentares/mandato/9/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2012_58041_13_31456_190000023371","BOCEL0229565","RJ","sapl_municipal","2016-12-31","VEREADOR","BELFORD ROXO","2012","MARCIO CORREIA DE OLIVEIRA","25/06/1977","DEPUTADO ESTADUAL","RIO DE JANEIRO","2014","MARCIO CORREIA DE OLIVEIRA","25/06/1977","M2014_RJ_7_17456_190000000169","2015-02-01","2015-02-01","2018-08-15","tse_reeleicao","fim_regular",NA,TRUE,TRUE,TRUE,1,"TRUE","2016-12-31","2016-12-31","","","https://sapl.belfordroxo.rj.leg.br/api/parlamentares/mandato/91/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2012_58670_13_40180_190000005933","BOCEL0231800","RJ","sapl_municipal","2016-12-31","VEREADOR","NOVA FRIBURGO","2012","WANDERSON LUIZ CUNHA NOGUEIRA","04/08/1981","DEPUTADO ESTADUAL","RIO DE JANEIRO","2014","WANDERSON LUIZ CUNHA NOGUEIRA","04/08/1981","M2014_RJ_7_40180_190000001669","2015-02-01","2015-02-01","2018-08-15","tse_reeleicao","fim_regular",NA,TRUE,TRUE,TRUE,1,"TRUE","2016-12-31","2016-12-31","Diplomação e Posse como Deputado","Vereador assumiu como Deputado em 02/02/2015.","https://sapl.novafriburgo.rj.leg.br/api/parlamentares/mandato/203/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_58475_13_23000_190000016265","BOCEL0219214","RJ","sapl_municipal","2020-12-31","VEREADOR","MACAÉ","2016","WELBERTH PORTO DE REZENDE","20/08/1975","DEPUTADO ESTADUAL","RIO DE JANEIRO","2018","WELBERTH PORTO DE REZENDE","20/08/1975","M2018_RJ_7_23601_190000629002","2019-02-01","2019-02-01",NA,NA,"renuncia",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2020-12-31","2020-12-31","","","https://sapl.macae.rj.leg.br/api/parlamentares/mandato/19/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2020_58777_13_50700_190001076772","BOCEL0242176","RJ","sapl_municipal","2024-12-31","VEREADOR","PETRÓPOLIS","2020","YURI LUCAS CARIUS DE MOURA ALMEIDA","23/03/1990","DEPUTADO ESTADUAL","RIO DE JANEIRO","2022","YURI LUCAS CARIUS DE MOURA ALMEIDA","23/03/1990","M2022_RJ_7_50700_190001600427","2023-02-01","2023-02-01",NA,NA,"nao_observado",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2024-12-31","2024-12-31","","","https://sapl.petropolis.rj.leg.br/api/parlamentares/mandato/16/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2020_59013_13_14123_190000648786","BOCEL0185638","RJ","sapl_municipal","2024-12-31","VEREADOR","SÃO JOÃO DE MERITI","2020","CARLOS ROBERTO RODRIGUES","31/07/1963","DEPUTADO FEDERAL","RIO DE JANEIRO","2022","CARLOS ROBERTO RODRIGUES","31/07/1963","M2022_RJ_6_1433_190001603087","2023-02-01","2023-02-01",NA,NA,"nao_observado",TRUE,TRUE,TRUE,TRUE,1,"FALSE","2024-12-31","2024-12-31","Renúncia","","https://sapl.saojoaodemeriti.rj.leg.br/api/parlamentares/mandato/3/",TRUE
