"rodada","amostra","na_amostra_40","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","correto","motivo_erro","trecho"
"regra_final_29082026","30_alta","FALSE","27","M2020_78875_13_17777_160000775291","2023-08-07","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JECIEL FERREIRA FRANCO",1,"NA","da Mesa Diretora e todo o procedimento foi realizado nos termos do artigo 12 do Regimento Interno da Câmara Municipal de São Mateus do Sul, conforme processo administrativo n° 001/2023. Art. 1° Fica declarada a <<perda do mandato>> do Vereador Jeciel Ferreira Franco – Partido União Brasil, a partir de 7 agosto de 2023, conforme processo administrativo n° 001/2023, tendo em vista o disposto no artigo 15, III da Constituição Federal e artigo 36, IV da Lei Orgânica Municipal. Art. 2° Este Decreto Legislativo"
"regra_final_29082026","30_alta","FALSE","28","M2020_58130_11_12_190001150041","2023-07-17","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO",1,"NA","personalidade e homem público, DECRETA: Art. 1º Será observado ponto facultativo, no expediente das entidades e órgãos públicos da Administração Pública Municipal Direta e Indireta no dia 17 de julho de 2023, em razão do <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino. Art. 2º Deverão ser garantidos os serviços e atividades essenciais, tais como atendimento médico de urgência (Unidade de Pronto Atendimento 24 horas – UPA e Hospital Central de Emergência - HCE), e"
"regra_final_29082026","30_alta","FALSE","29","M2020_58530_13_55055_190000632649","2021-02-12","alta","licenca","licenca","nome_completo_no_trecho",NA,"ROBSON DUTRA DA SILVA",1,"NA","Suplente de Vereador, o Senhor Luís Felipe Paulino Auni – PSD – eleito em 15 de novembro de 2020 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de <<licença do Vereador>> Robson Dutra da Silva, que ocupará a Secretaria de Turismo da Prefeitura Municipal de Maricá. O Suplente empossou-se nesta data, prestando compromisso e posse, atendendo ao que preceitua o art. 91 § 1º, da Lei Orgânica do Município, e entrou"
"regra_final_29082026","30_alta","FALSE","30","M2020_58530_13_23990_190000738385","2022-05-23","alta","licenca","licenca","nome_completo_no_trecho",NA,"ADEMILTON DA SILVA DINIZ",1,"NA","Suplente de Vereador, o Senhor Fabrício Soares Bittencourt eleito em 15 de novembro de 2020 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de <<licença do Vereador>> Ademilton da Silva Diniz (Tatai), que ocupará a Secretaria de Políticas para Terceira Idade da Prefeitura Municipal de Maricá. O Suplente empossou-se nesta data, prestando compromisso e pos- se, atendendo ao que preceitua o art. 91 § 1º, da"
"regra_final_29082026","20_media","TRUE","31","M2020_90514_11_55_120001083149","2022-04-06","media","renuncia",NA,"nome_completo_no_trecho","sem_ancora_nome_cargo_termo","MARCOS MARCELLO TRAD",1,"NA","Park, foi aberto pelo senhor presidente, vereador Carlos Augusto Borges, o Ato de Posse da senhora Adriane Barbosa Nogueira Lopes na titularidade do mandato de prefeita, com base no art. 61 da Lei Orgânica do Município, em decorrência da Carta de <<Renúncia>> do senhor Marcos Marcello Trad ao mandato de prefeito, protocolada nesta Casa no dia primeiro de abril, com efeitos a partir do dia dois de abril do ano de dois mil e vinte e dois. Foi anunciada a composição da Mesa dos trabalhos: vereador Carlos"
"regra_final_29082026","20_media","TRUE","32","M2008_54011_13_12345_55200","2011-03-23","media","renuncia",NA,"nome_completo_no_trecho","sem_ancora_nome_cargo_termo","LUIZ HUMBERTO DUTRA",0,"renuncia_de_terceiro_ex_parlamentar_nome_e_presidente_da_camara","impetrado por José Antônio Fernandes Cardoso, em desfavor de ato praticado pelo Excelentíssimo Senhor Presidente da Câmara Municipal, Luiz Humberto Dutra, com pedido de liminar para pronta tomada de posse no cargo de vereador deixado vago pela <<renúncia>> do ex-parlamentar Lerin, por ser o primeiro suplente do partido correlato, PSB. Decido: pela farta documentação inclusa, denota-se que o impetrante figura como primeiro suplente do partido PSB, folhas 17, diplomado pela Justiça Eleitoral, folhas"
"regra_final_29082026","20_media","TRUE","33","M2024_90670_13_10888_110002120641","2025-06-04","media","licenca",NA,"nome_de_urna_unico_no_trecho",NA,"DANIEL SOUZA SILVA MONTEIRO",1,"NA","de Apoio Legislativo Termos de Posse TERMO DE POSSE No dia quatorze do mês de maio do ano de dois mil e vinte e cinco (14/05/2025) compareceu na Presidência da Câmara Municipal de Cuiabá, o Senhor CARLOS FREDERICCO REINERS GAHYVA – 1º <<suplente de Vereador>> do Partido, Republicanos, para assumir o cargo, tendo em vista a licença do Vereador Daniel Monteiro, que se licenciou para tratar de assunto de interesse particular, por trinta e um dias, no período de 14 de maio a 13 de junho de 2025,"
"regra_final_29082026","20_media","TRUE","34","M2016_70750_13_12012_250000020282","2019-02-15","media","suplente_efetivado",NA,"nome_completo_no_trecho","sem_ancora_nome_cargo_termo","RAMON RAMOS",0,"convocacao_de_suplente_de_terceiro_nome_e_presidente_que_assina","Orgânica do Município de São Bernardo do Campo, R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XV, do artigo 30, do Regimento Interno, o 1º <<suplente de Vereador>> pelo partido SD, o Sr. ALAN GOMES FERREIRA, para exercer a vereança, em substituição, a partir de 13 de fevereiro de 2019. São Bernardo do Campo, em 12 de fevereiro de 2019. RAMON RAMOS Presidente Registrada na Secretaria Administrativa"
"regra_final_29082026","20_media","TRUE","35","M2012_46752_11_45_130000051407","2014-03-20","media","renuncia",NA,"nome_completo_no_trecho","sem_ancora_nome_cargo_termo","OSMANDO PEREIRA DA SILVA",0,"renuncia_de_direito_em_lei_municipal_nome_e_prefeito_que_sanciona","Itaúna-MG, 19 de março de 2014 Osmando Pereira da silva Prefeito Municipal Otacília de Cássia Barbosa Parreiras Procuradora-Geral do Município (Vereador: JMA) ----------------------------------- LEI Nº 4.832, DE 21 DE MARÇO DE 2014 Autoriza <<renúncia>> de direito nas condições que menciona e dá outras providências. A Câmara Municipal de Itaúna, Estado de Minas Gerais, aprovou e eu, Prefeito Municipal, sanciono a seguinte Lei: Art. 1o Fica o Executivo Municipal autorizado a renunciar o"
"regra_final_29082026","20_media","TRUE","36","M2020_70718_13_11611_250001085158","2022-06-14","media","licenca",NA,"nome_completo_no_trecho","sem_ancora_nome_cargo_termo","ADILSON DOS SANTOS JUNIOR",1,"NA","FIGUEREDO EQUIPE DE APOIO WENDSON SANTANA SANTOS EQUIPE DE APOIO A Câmara Municipal de Santos aprovou, na 35ª Sessão Ordinária realizada em 09 de junho de 2022, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 09 09 DE JUNHO DE 2022 <<LICENÇA DO VEREADOR>> ADILSON DOS SANTOS JUNIOR, E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida licença ao Vereador Adilson dos Santos Junior para desempenhar missão tem- porária de interesse do Município, no período de 10/06/2022 a 18/06/2022, nos termos do inciso"
