ano_eleicao,leg,nome_grupo,nome_normalizado,id_mandato,id_pessoa,sq_cand,metodo,nome_completo,dt_nasc,partido_tse,k,k_pu,condicao
2018,"19","OTHELINO NETO","OTHELINO NETO","M2018_MA_7_65065_100000601776","BOCEL0115673","100000601776","nome_parlamentar_x_urna","OTHELINO NOVA ALVES NETO","1975-07-07","PC do B","OTHELINO NETO","OTHELINO NETO","titular"
2018,"19","PARA FIGUEIREDO","PARA FIGUEIREDO","M2018_MA_7_17123_100000625945","BOCEL0143862","100000625945","nome_parlamentar_x_urna","KARLOS PARABUCU SANTOS FIGUEIREDO DOS ANJOS","1979-12-15","PSL","PARA FIGUEIREDO","PARA FIGUEIREDO","titular"
2018,"19","PASTOR CAVALCANTE","PASTOR CAVALCANTE","M2018_MA_7_90123_100000605378","BOCEL0115425","100000605378","nome_parlamentar_x_urna","JOSÉ ALVES CAVALCANTE","1960-04-25","PROS","PASTOR CAVALCANTE","PASTOR CAVALCANTE","titular"
2018,"19","PASTOR RIBINHA","PASTOR RIBINHA",NA,NA,"100000624111","suplente_nome_parlamentar_x_urna","JOSÉ DE RIBAMAR BRAGA JÚNIOR","25/08/1982",NA,"PASTOR RIBINHA","PASTOR RIBINHA","suplente"
2018,"19","PAULO NETO","PAULO NETO","M2018_MA_7_25111_100000601783","BOCEL0044641","100000601783","nome_parlamentar_x_urna","PAULO ROBERTO ALMEIDA NETO","1963-11-19","DEM","PAULO NETO","PAULO NETO","titular"
2018,"19","PROF MARCO AURELIO","PROF MARCO AURELIO",NA,NA,NA,NA,NA,NA,NA,"PROF MARCO AURELIO","PROF AURELIO","suplente"
2018,"19","PROF SOCORRO WAQUIM","PROF SOCORRO WADIM",NA,NA,NA,NA,NA,NA,NA,"PROF SOCORRO WAQUIM","PROF WAQUIM","suplente"
2018,"19","PROF SOCORRO WAQUIM","PROF SOCORRO WAQUIM",NA,NA,NA,NA,NA,NA,NA,"PROF SOCORRO WAQUIM","PROF WAQUIM","suplente"
2018,"19","RAFAEL","RAFAEL",NA,NA,NA,NA,NA,NA,NA,"RAFAEL",NA,"suplente"
2018,"19","RAFAEL LEITOA","RAFAEL LEITOA","M2018_MA_7_12300_100000601756","BOCEL0150918","100000601756","nome_parlamentar_x_urna","RAFAEL DE BRITO SOUSA","1982-04-22","PDT","RAFAEL LEITOA","RAFAEL LEITOA","titular"
2018,"19","RICARDO RIOS","RICARDO RIOS","M2018_MA_7_12333_100000601757","BOCEL0169133","100000601757","nome_parlamentar_x_urna","RICARDO TADEU RIBEIRO PEARCE","1986-07-14","PDT","RICARDO RIOS","RICARDO RIOS","titular"
2018,"19","RIGO TELES","RIGO TELES","M2018_MA_7_43200_100000609131","BOCEL0076231","100000609131","nome_parlamentar_x_urna","RIGO ALBERTO TELIS DE SOUSA","1963-06-08","PV","RIGO TELES","RIGO TELES","titular"
2018,"19","RILDO AMARAL","RILDO AMARAL","M2018_MA_7_77777_100000601189","BOCEL0113249","100000601189","nome_parlamentar_x_urna","RILDO DE OLIVEIRA AMARAL","1977-05-22","SOLIDARIEDADE","RILDO AMARAL","RILDO AMARAL","titular"
2018,"19","ROBERTO COSTA","ROBERTO COSTA","M2018_MA_7_15789_100000609158","BOCEL0095004","100000609158","nome_parlamentar_x_urna","JOSE ROBERTO COSTA SANTOS","1974-03-18","MDB","ROBERTO COSTA","ROBERTO COSTA","titular"
2018,"19","TOCA SERRA","TOCA SERRA",NA,NA,"100000601200","suplente_nome_parlamentar_x_urna","DOMINGOS ERINALDO SOUSA SERRA","25/02/1979",NA,"TOCA SERRA","TOCA SERRA","suplente"
2018,"19","VALERIA MACEDO","VALERIA MACEDO",NA,NA,"100000601787","suplente_nome_parlamentar_x_urna","VALERIA MARIA SANTOS MACEDO","23/01/1970",NA,"VALERIA MACEDO","VALERIA MACEDO","suplente"
