legislatura,nome,chave,data_evento,origem,url,n_trechos
16,SEBASTIÃO OLIVEIRA JÚNIOR,afastamento,2007-02-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06022007/Flip.pdf,4
17,ALBERTO FEITOSA,afastamento,2015-02-11,noticia,https://www.alepe.pe.gov.br/2015/02/11/marcantonio-dourado-toma-posse-na-assembleia-2/,3
17,ALUÍSIO LESSA,licenca,2014-10-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-15102014/Flip.pdf,177
17,ANDRÉ CAMPOS,afastamento,2011-02-23,noticia,https://www.alepe.pe.gov.br/2011/02/23/oscar-barreto-toma-posse-na-assembleia/,5
17,ÂNGELO FERREIRA,licenca,2011-04-19,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-19042011/Flip.pdf,22
17,ANTÔNIO MORAES,licenca,2012-10-03,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-03102012/Flip.pdf,10
17,BETINHO GOMES,licenca,2014-11-27,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-27112014/Flip.pdf,50
17,CARLOS SANTANA,licenca,2012-12-05,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-05122012/Flip.pdf,36
17,CLODOALDO MAGALHÃES,licenca,2012-05-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-24052012/Flip.pdf,22
17,DANIEL COELHO,licenca,2014-11-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-20112014/Flip.pdf,28
17,DIOGO MORAES,licenca,2014-02-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-28022014/Flip.pdf,16
17,ERIBERTO MEDEIROS,licenca,2014-03-11,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-11032014/Flip.pdf,15
17,EVERALDO CABRAL,licenca,2011-09-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-01092011/Flip.pdf,6
17,GUILHERME UCHÔA,licenca,2014-11-05,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-05112014/Flip.pdf,2
17,GUSTAVO NEGROMONTE,licenca,2013-04-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-02042013/Flip.pdf,14
17,ISALTINO NASCIMENTO,afastamento,2011-10-26,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-26102011/Flip.pdf,2
17,IZAÍAS RÉGIS,licenca,2013-07-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-04072013/Flip.pdf,37
17,JOÃO FERNANDO COUTINHO,licenca,2014-11-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-04112014/Flip.pdf,10
17,JULIO CAVALCANTI,licenca,2014-01-17,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-17012014/Flip.pdf,16
17,LAURA GOMES,licenca,2014-10-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-15102014/Flip.pdf,473
17,LEONARDO DIAS,licenca,2013-08-08,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-08082013/Flip.pdf,27
17,MANOEL SANTOS,licenca,2014-10-30,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-30102014/Flip.pdf,80
17,MARY GOUVEIA,licenca,2014-12-16,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-16122014/Flip.pdf,25
17,MAVIAEL CAVALCANTI,licenca,2011-10-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06102011/Flip.pdf,23
17,PEDRO SERAFIM NETO,licenca,2013-04-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-02042013/Flip.pdf,6
17,RAQUEL LYRA,licenca,2013-06-07,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-07062013/Flip.pdf,292
17,RILDO BRAZ,licenca,2013-09-25,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-25092013/Flip.pdf,2
17,SEBASTIÃO OLIVEIRA JÚNIOR,licenca,2011-09-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-01092011/Flip.pdf,8
17,VINÍCIUS LABANCA,licenca,2013-03-22,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-22032013/Flip.pdf,11
17,WALDEMAR BORGES,licenca,2011-06-14,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-14062011/Flip.pdf,1
17,SÉRGIO LEITE,licenca,2014-05-07,noticia,https://www.alepe.pe.gov.br/2014/05/07/reforma-politica-e-autonomia-do-legislativo-pautam-abertura-da-18a-conferencia-da-unale/,1
17,ISABEL CRISTINA,licenca,2011-12-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-20122011/Flip.pdf,5
17,OSSÉSIO SILVA,licenca,2013-05-07,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-07052013/Flip.pdf,4
17,JOSÉ HUMBERTO CAVALCANTI,licenca,2013-07-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-02072013/Flip.pdf,11
17,TEREZINHA NUNES,licenca,2014-11-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-04112014/Flip.pdf,1
18,AGLAILSON JÚNIOR,renuncia,2016-12-22,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-22/Flip.pdf,3
18,ALUÍSIO LESSA,licenca,2019-03-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-03-01/Flip.pdf,19
18,ÁLVARO PORTO,licenca,2018-12-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-12-04/Flip.pdf,23
18,ANDRÉ FERREIRA,licenca,2018-02-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-02-20/Flip.pdf,6
18,ÂNGELO FERREIRA,renuncia,2016-12-22,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-22/Flip.pdf,3
18,ANTÔNIO MORAES,licenca,2016-12-21,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-21/Flip.pdf,1
18,AUGUSTO CÉSAR,licenca,2017-12-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-12-15/Flip.pdf,5
18,BETO ACCIOLY,licenca,2016-03-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-01032016/Flip.pdf,1
18,DIOGO MORAES,licenca,2019-02-26,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-02-26/Flip.pdf,37
18,EDUÍNO BRITO,licenca,2016-12-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-20/Flip.pdf,10
18,ERIBERTO MEDEIROS,renuncia,2018-07-31,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-07-31/Flip.pdf,4
18,EVERALDO CABRAL,licenca,2015-09-10,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-10092015/Flip.pdf,12
18,FRANCISMAR PONTES,licenca,2018-12-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-12-04/Flip.pdf,22
18,GUILHERME UCHOA,falecimento,2018-07-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-07-04/Flip.pdf,3
18,JOÃO EUDES,licenca,2016-06-23,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-23062016/Flip.pdf,6
18,JOAQUIM LIRA,licenca,2015-08-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-04082015/Flip.pdf,2
18,JOSÉ HUMBERTO CAVALCANTI,licenca,2018-11-13,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-11-13/Flip.pdf,33
18,JULIO CAVALCANTI,licenca,2018-12-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-12-04/Flip.pdf,13
18,LUCAS RAMOS,licenca,2018-10-23,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-23102018/Flip.pdf,25
18,LULA CABRAL,licenca,2016-11-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-11-24/Flip.pdf,33
18,MIGUEL COELHO,licenca,2016-12-22,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-22/Flip.pdf,13
18,ODACY AMORIM,renuncia,2019-01-17,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-01-17/Flip.pdf,3
18,PEDRO SERAFIM NETO,licenca,2018-09-13,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-09-13/Flip.pdf,15
18,PRISCILA KRAUSE,licenca,2017-03-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-03-28/Flip.pdf,11
18,RICARDO COSTA,licenca,2018-04-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-04-24/Flip.pdf,8
18,RODRIGO NOVAES,licenca,2019-03-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-03-01/Flip.pdf,19
18,ROGÉRIO LEÃO,licenca,2017-08-03,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-08-03/Flip.pdf,3
18,ROMÁRIO DIAS,licenca,2018-11-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-11-28/Flip.pdf,20
18,SÍLVIO COSTA FILHO,licenca,2017-12-07,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-12-07/Flip.pdf,18
18,TERESA LEITÃO,licenca,2018-06-12,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-06-12/Flip.pdf,20
18,ZÉ MAURÍCIO,licenca,2017-12-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-12-15/Flip.pdf,6
18,ALBERTO FEITOSA,afastamento,2015-02-11,noticia,https://www.alepe.pe.gov.br/2015/02/11/marcantonio-dourado-toma-posse-na-assembleia-2/,3
18,NILTON MOTA,licenca,2018-06-12,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-06-12/Flip.pdf,568
18,CLODOALDO MAGALHÃES,licenca,2017-08-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-08-15/Flip.pdf,3
18,VINÍCIUS LABANCA,licenca,2017-12-19,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-12-19/Flip.pdf,41
18,GUSTAVO NEGROMONTE,licenca,2018-04-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-04-04/Flip.pdf,11
18,ROBERTA ARRAES,licenca,2017-06-27,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2017-06-27/Flip.pdf,2
18,TEREZINHA NUNES,licenca,2018-01-18,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-01-18/Flip.pdf,4
19,ADALTO SANTOS,licenca,2019-06-26,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-06-26/Flip.pdf,15
19,AGLAILSON VICTOR,licenca,2020-05-26,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2020-05-26/Flip.pdf,9
19,CORONEL ALBERTO FEITOSA,licenca,2019-05-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-05-28/Flip.pdf,18
19,ALESSANDRA VIEIRA,licenca,2020-03-10,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2020-03-10/Flip.pdf,11
19,ANTONIO COELHO,licenca,2019-07-12,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-07-12/Flip.pdf,2
19,CLODOALDO MAGALHÃES,licenca,2019-12-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-12-20/Flip.pdf,2
19,FABÍOLA CABRAL,licenca,2019-11-19,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-11-19/Flip.pdf,6
19,GUILHERME UCHOA,licenca,2019-09-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-09-24/Flip.pdf,9
19,GUSTAVO GOUVEIA,licenca,2021-06-18,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2021-06-18/Flip.pdf,20
19,JOÃO PAULO,licenca,2019-08-13,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-08-13/Flip.pdf,3
19,JOEL DA HARPA,licenca,2019-08-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-08-02/Flip.pdf,6
19,LUCAS RAMOS,afastamento,2020-08-14,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2020-08-14/Flip.pdf,5
19,MARCO AURELIO MEU AMIGO,licenca,2021-11-18,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2021-11-18/Flip.pdf,1
19,PROFESSOR PAULO DUTRA,licenca,2019-10-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-10-01/Flip.pdf,5
19,ROBERTA ARRAES,licenca,2019-09-12,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-09-12/Flip.pdf,2
19,ROMÁRIO DIAS,licenca,2021-08-19,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2021-08-19/Flip.pdf,3
19,ROMERO SALES FILHO,licenca,2019-08-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-08-02/Flip.pdf,5
19,SIMONE SANTANA,licenca,2019-11-05,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-11-05/Flip.pdf,6
19,TERESA LEITÃO,licenca,2022-12-08,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2022-12-08/Flip.pdf,4
19,WALDEMAR BORGES,cassacao,2021-06-14,noticia,https://www.alepe.pe.gov.br/2021/06/14/cclj-aprova-criacao-de-vara-judicial-especializada-em-crime-organizado/,2
19,DULCICLEIDE AMORIM,licenca,2019-05-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-05-15/Flip.pdf,1
19,ALUÍSIO LESSA,licenca,2022-02-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2022-02-15/Flip.pdf,258
19,R ODRIGO NOVAES,licenca,2022-04-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2022-04-01/Flip.pdf,290
19,PRISCILA KRAUSE,licenca,2019-04-12,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-04-12/Flip.pdf,3
19,DIOGO MORAES,licenca,2019-02-26,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-02-26/Flip.pdf,3
20,AGLAILSON VICTOR,licenca,2025-02-05,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2025-02-05/Flip.pdf,2
20,ÁLVARO PORTO,licenca,2023-08-22,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-08-22/Flip.pdf,5
20,ANTONIO COELHO,afastamento,2023-09-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-09-28/Flip.pdf,5
20,ANTONIO MORAES,licenca,2023-11-14,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-11-14/Flip.pdf,4
20,CLAUDIANO MARTINS FILHO,licenca,2024-10-16,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2024-10-16/Flip.pdf,13
20,CORONEL ALBERTO FEITOSA,licenca,2023-09-26,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-09-26/Flip.pdf,13
20,DÉBORA ALMEIDA,licenca,2023-08-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-08-04/Flip.pdf,2
20,ERIBERTO FILHO,afastamento,2026-04-10,noticia,https://www.alepe.pe.gov.br/2026/04/10/janela-partidaria-veja-a-composicao-da-alepe-apos-28-deputados-mudarem-de-partido/,2
20,FABRIZIO FERRAZ,licenca,2023-10-17,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-10-17/Flip.pdf,1
20,FRANCE HACKER,licenca,2024-02-27,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2024-02-27/Flip.pdf,4
20,GILMAR JÚNIOR,licenca,2026-05-15,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2026-05-15/Flip.pdf,9
20,IZAIAS REGIS,licenca,2023-02-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-02-28/Flip.pdf,1
20,JOÃO DE NADEGI,licenca,2023-11-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-11-02/Flip.pdf,4
20,JOAOZINHO TENÓRIO,licenca,2024-03-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2024-03-01/Flip.pdf,3
20,JOEL DA HARPA,licenca,2023-03-16,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-03-16/Flip.pdf,5
20,JOSÉ PATRIOTA,falecimento,2024-09-17,noticia,https://www.alepe.pe.gov.br/2024/09/17/morre-o-deputado-jose-patriota/,20
20,KAIO MANIÇOBA,afastamento,2025-03-27,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2025-03-27/Flip.pdf,1
20,LUCIANO DUQUE,licenca,2023-11-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-11-02/Flip.pdf,2
20,LULA CABRAL,licenca,2023-10-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-10-06/Flip.pdf,3
20,MÁRIO RICARDO,licenca,2023-10-31,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-10-31/Flip.pdf,1
20,PASTOR CLEITON COLLINS,licenca,2024-12-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2024-12-20/Flip.pdf,54
20,RENATO ANTUNES,renuncia,2023-03-08,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-03-08/Flip.pdf,1
20,RODRIGO FARIAS,licenca,2023-11-21,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-11-21/Flip.pdf,1
20,ROMERO ALBUQUERQUE,licenca,2026-05-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2026-05-28/Flip.pdf,11
20,ROMERO SALES FILHO,licenca,2023-11-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-11-01/Flip.pdf,2
20,ROSA AMORIM,licenca,2024-08-29,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2024-08-29/Flip.pdf,1
20,SILENO GUEDES,licenca,2023-11-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2023-11-01/Flip.pdf,1
20,SOCORRO PIMENTEL,licenca,2025-06-05,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2025-06-05/Flip.pdf,2
20,WALDEMAR BORGES,falecimento,2026-07-04,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2026-07-04-extra1/Flip.pdf,1
20,WILLIAM BRIGIDO,licenca,2024-04-23,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2024-04-23/Flip.pdf,3
20,DIOGO MORAES,renuncia,2025-04-10,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2025-04-10/Flip.pdf,1
20,JUNIOR MATUTO,licenca,2026-06-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2026-06-02/Flip.pdf,4
14,Augusto Coutinho,licenca,2000-10-03,noticia,https://www.alepe.pe.gov.br/2000/10/03/deputado-estaduais-sao-eleitos-e-assumem-prefeituras-em-2000/,3
14,Eudo Magalhães,cassacao,2000-06-07,noticia,https://www.alepe.pe.gov.br/2000/06/07/al-decide-que-sessao-sera-secreta/,1
