tabela,uf,fonte,sg_ue,nome_municipio_fonte,unidade_gestora,cargo_bocel,nome_fonte,nome_bocel,nome_urna_bocel,exercicio,ano_eleicao,data_inicio,data_fim,forma_saida,metodo_pareamento,id_mandato_bocel,id_pessoa_bocel,m_cd,m_ue,m_ano,m_ini,m_fim,url
"A","SP","tcesp_responsaveis_prestacao_contas_repasses","62138","BARUERI","PREFEITURA MUNICIPAL DE BARUERI","PREFEITO","GILBERTO MACEDO GIL ARANTES","GILBERTO MACEDO GIL ARANTES","GIL ARANTES","2015","2012",NA,NA,"nao_observado","nome_completo_eleicao","M2012_62138_11_25_250000000381","BOCEL0196284","11","62138","2012","2013-01-01","2016-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"A","ES","ckan_es_julgamento_de_contas","56120","Marataízes","PREFEITURA MUNICIPAL DE MARATAÍZES","PREFEITO","ROBERTINO BATISTA DA SILVA","ROBERTINO BATISTA DA SILVA","TININHO BATISTA","2019","2016",NA,NA,"nao_observado","nome_completo_eleicao","M2016_56120_11_44_80000007184","BOCEL0024696","11","56120","2016","2017-01-01","2020-12-31","https://dados.es.gov.br/dataset/b669d51c-1443-44b9-9011-0d0968dd6270"
"B","PE","tcepe_dados_abertos_lista_servidores","25291","QUIPAPA","Câmara Municipal de Quipapá","VEREADOR","RUY DA SILVA CHAPOVAL","RUY DA SILVA CHAPOVAL","RUY CHAPOVAL","2026","2012","2013-01-02","2016-12-31","fim_regular","nome_completo_eleicao","M2012_25291_13_10000_170000002616","BOCEL0066669","13","25291","2012","2013-01-01","2016-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PE","tcepe_dados_abertos_lista_servidores","25631","SAO JOAO","Câmara Municipal de São João","VEREADOR","GILVAN CARVALHO PORTUGAL","GILVAN CARVALHO PORTUGAL","MAGUILA DE MANÉ VEIO","2026","2020","2021-01-01","2024-12-31","fim_regular","nome_completo_eleicao","M2020_25631_13_55888_170000802161","BOCEL0210405","13","25631","2020","2021-01-01","2024-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19860","São Francisco","Câmara Municipal de São Francisco","VEREADOR","Francisco Aldi da Silva","FRANCISCO ALDI DA SILVA","ALDI",NA,"2016","2017-01-01","2020-12-31","fim_regular","nome_completo_eleicao","M2016_19860_13_40678_150000002699","BOCEL0083709","13","19860","2016","2017-01-01","2020-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2017.zip"
"B","PE","tcepe_dados_abertos_lista_servidores","23914","CONDADO","Prefeitura Municipal de Condado","VICE-PREFEITO","JANNYCLEA MARQUES DE ARAUJO","JANNYCLÉA MARQUES DE ARAUJO","DRA. JANNY MARQUES","2026","2016","2017-01-01","2025-01-02","fim_regular","nome_completo_eleicao","M2016_23914_12_14_170000006030","BOCEL0163227","12","23914","2016","2017-01-01","2020-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=PREFEITO"
"B","PE","tcepe_dados_abertos_lista_servidores","23779","CARNAIBA","Câmara Municipal de Carnaíba","VEREADOR","VANDERBIO QUIXABEIRA DA SILVA","VANDERBIO QUIXABEIRA DA SILVA","VANDERBIO BANDEGA","2026","2020","2023-09-01","2026-01-01","fim_regular","nome_completo_eleicao","M2020_23779_13_25789_170000869211","BOCEL0170342","13","23779","2020","2021-01-01","2024-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PE","tcepe_dados_abertos_lista_servidores","25917","TABIRA","Câmara Municipal de Tabira","VEREADOR","MARIA CLAUDICEIA ROCHA DE MELO GALDINO","MARIA CLAUDICEIA ROCHA DE MELO GALDINO","DR.. CLAUDICEIA ROCHA","2026","2016","2017-01-01","2020-12-31","fim_regular","nome_completo_eleicao","M2016_25917_13_40000_170000005177","BOCEL0159241","13","25917","2016","2017-01-01","2020-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PE","tcepe_dados_abertos_lista_servidores","25178","PESQUEIRA","Câmara Municipal de Pesqueira","VEREADOR","CICERO ROMÃO LEITE SOARES","CICERO ROMAO LEITE SOARES","CICINHO DE MIMOSO","2026","2016","2017-01-01","2020-12-30","fim_regular","nome_completo_eleicao","M2016_25178_13_10222_170000007438","BOCEL0192564","13","25178","2016","2017-01-01","2020-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PB","tcepb_sagres_folha_cargos_eletivos","21210","Pedra Branca","Câmara Municipal de Pedra Branca","VEREADOR","JOAQUIM NAZARIO DA SILVA NETO","JOAQUIM NAZARIO DA SILVA NETO","JOAQUIM NETO",NA,"2024","2025-01-01","2026-07-31","nao_observado","nome_completo_eleicao","M2024_21210_13_22123_150001904791","BOCEL0147446","13","21210","2024","2025-01-01","2028-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2025.zip"
"B","PE","tcepe_dados_abertos_lista_servidores","26255","VICENCIA","Câmara Municipal de Vicência","VEREADOR","ABDON JOSE DE LIMA FILHO","ABDON JOSE DE LIMA FILHO","BIDOGA","2026","2012","2013-01-01","2017-11-01","fim_regular","nome_completo_eleicao","M2012_26255_13_15111_170000008854","BOCEL0105516","13","26255","2012","2013-01-01","2016-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19852","Catingueira","Câmara Municipal de Catingueira","VEREADOR","SUELDO CAMPOS LEITE","SUELDO CAMPOS LEITE","SUELDO CAMPOS",NA,"2012","2013-01-01","2016-12-31","fim_regular","nome_completo_eleicao","M2012_19852_13_17111_150000012497","BOCEL0114696","13","19852","2012","2013-01-01","2016-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2013.zip"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19240","Caraúbas","Câmara Municipal de Caraúbas","VEREADOR","Cleoneide Amara de Assis Fernandes","CLEONEIDE AMARA DE ASSIS FERNANDES","NEIDE DE SILVANO ",NA,"2016","2017-01-01","2020-12-31","fim_regular","nome_completo_eleicao","M2016_19240_13_20611_150000005256","BOCEL0102440","13","19240","2016","2017-01-01","2020-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2019.zip"
"B","PE","tcepe_dados_abertos_lista_servidores","25879","SOLIDAO","Câmara Municipal de Solidão","VEREADOR","LUIZ VICENTE FERREIRA JUNIOR","LUIZ VICENTE FERREIRA JÚNIOR","JÚNIOR DE LUIZ DE ZUZA","2026","2020","2021-01-01","2021-01-01","outro","nome_completo_eleicao","M2020_25879_13_40555_170000848190","BOCEL0145251","13","25879","2020","2021-01-01","2024-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PB","tcepb_sagres_folha_cargos_eletivos","21032","Nova Floresta","Câmara Municipal de Nova Floresta","VEREADOR","Gean Carlos Ferreira","GEAN CARLOS FERREIRA","GEAN CABELEIREIRO",NA,"2016","2017-01-01","2020-12-31","fim_regular","nome_completo_eleicao","M2016_21032_13_40000_150000002040","BOCEL0136497","13","21032","2016","2017-01-01","2020-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2017.zip"
"B","PB","tcepb_sagres_folha_cargos_eletivos","21776","Santa Teresinha","Prefeitura Municipal de Santa Teresinha","VICE-PREFEITO","MARIA DO SOCORRO PEREIRA MACEDO","MARIA DO SOCORRO PEREIRA MACEDO","MARIINHA",NA,"2024","2025-01-01","2026-06-30","nao_observado","nome_completo_eleicao","M2024_21776_12_10_150002035602","BOCEL0069886","12","21776","2024","2025-01-01","2028-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2025.zip"
"B","PE","tcepe_dados_abertos_lista_servidores","26174","TUPARETAMA","Câmara Municipal de Tuparetama","VEREADOR","DANILO AUGUSTO OLIVEIRA PEREIRA NUNES","DANILO AUGUSTO OLIVEIRA PEREIRA NUNES","DANILO","2026","2012","2013-01-01",NA,"nao_observado","nome_completo_eleicao","M2012_26174_13_13333_170000007404","BOCEL0206726","13","26174","2012","2013-01-01","2016-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PB","tcepb_sagres_folha_cargos_eletivos","21377","Pirpirituba","Prefeitura Municipal de Pirpirituba","PREFEITO","Denilson de Freitas Silva","DENILSON DE FREITAS SILVA","DIDIU",NA,"2016","2017-01-01","2020-12-31","fim_regular","nome_completo_eleicao","M2016_21377_11_45_150000009213","BOCEL0105440","11","21377","2016","2017-01-01","2020-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2017.zip"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19151","Araçagi","Câmara Municipal de Araçagi","VEREADOR","Antonio Eduardo Dantas de Pontes","ANTONIO EDUARDO DANTAS DE PONTES","EDUARDO CASQUINHA",NA,"2016","2017-01-01","2020-12-31","fim_regular","nome_completo_eleicao","M2016_19151_13_10555_150000001733","BOCEL0086136","13","19151","2016","2017-01-01","2020-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2017.zip"
"B","PE","tcepe_dados_abertos_lista_servidores","23272","BARREIROS","Câmara Municipal de Barreiros","VEREADOR","WELLINGTON ALEIXO DE ALMEIDA","WELLINGTON ALEIXO DE ALMEIDA","IRMÃO WELLINGTON","2026","2016","2017-01-01","2020-12-31","fim_regular","nome_completo_eleicao","M2016_23272_13_12123_170000007297","BOCEL0135894","13","23272","2016","2017-01-01","2020-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19089","Cuité de Mamanguape","Prefeitura Municipal de Cuité de Mamanguape","PREFEITO","HELIO SEVERINO DE SOUZA","HÉLIO SEVERINO DE SOUZA","HELHINHO SOUZA",NA,"2020","2021-01-01","2024-12-31","fim_regular","nome_completo_eleicao","M2020_19089_11_22_150000837988","BOCEL0115723","11","19089","2020","2021-01-01","2024-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2021.zip"
"B","PI","tcepi_responsaveis_contas_irregulares","10731","ESPERANTINA","ESPERANTINA PREFEITURA","PREFEITO","VILMA CARVALHO AMORIM","VILMA CARVALHO AMORIM","VILMA AMORIM","2019","2016",NA,NA,"nao_observado","cpf_municipio_cargo_eleicao","M2016_10731_11_13_180000007635","BOCEL0085371","11","10731","2016","2017-01-01","2020-12-31","https://www.tcepi.tc.br/wp-content/uploads/2026/08/RESPONSAVEIS-COM-CONTAS-JULGADAS-IRREGULARES-OU-COM-PARECER-PREVIO-PELA-REPROVACAO-1.pdf"
"B","PB","tcepb_sagres_folha_cargos_eletivos","21075","Nova Palmeira","Prefeitura Municipal de Nova Palmeira","PREFEITO","ANTONIO ORLANDO PEREIRA DE ARAUJO","ANTÔNIO ORLANDO PEREIRA DE ARAÚJO","ORLANDO PEREIRA",NA,"2024","2025-01-01","2026-07-31","nao_observado","nome_completo_eleicao","M2024_21075_11_15_150002178268","BOCEL0111796","11","21075","2024","2025-01-01","2028-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2025.zip"
"B","PB","tcepb_sagres_folha_cargos_eletivos","20079","Curral Velho","Câmara Municipal de Curral Velho","VEREADOR","MIGUEL FRANCISCO DE SOUSA","MIGUEL FRANCISCO DE SOUSA","MIGUEL",NA,"2012","2013-01-01","2016-12-31","fim_regular","nome_completo_eleicao","M2012_20079_13_45666_150000004638","BOCEL0031116","13","20079","2012","2013-01-01","2016-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2013.zip"
"B","PB","tcepb_sagres_folha_cargos_eletivos","22136","Serra da Raiz","Câmara Municipal de Serra da Raiz","VEREADOR","SELSON LUIS DA SILVA","SELSON LUIS DA SILVA","SELSON",NA,"2024","2025-01-01","2026-07-31","nao_observado","nome_completo_eleicao","M2024_22136_13_40123_150001909493","BOCEL0110185","13","22136","2024","2025-01-01","2028-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2025.zip"
"B","PE","tcepe_dados_abertos_lista_servidores","25690","SAO JOSE DO BELMONTE","Câmara Municipal de São José do Belmonte","VEREADOR","RONALDO CARNEIRO DA SILVA","RONALDO CARNEIRO DA SILVA","RONALDO DA MANGA","2026","2024","2025-01-01",NA,"nao_observado","nome_completo_eleicao","M2024_25690_13_10111_170001987397","BOCEL0172083","13","25690","2024","2025-01-01","2028-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19402","São Bentinho","Câmara Municipal de São Bentinho","VEREADOR","LENILSON MONTEIRO DE SOUSA FILHO","LENILSON MONTEIRO DE SOUSA FILHO","MONTEIRO",NA,"2020","2021-01-01","2024-12-31","fim_regular","nome_completo_eleicao","M2020_19402_13_22123_150000911853","BOCEL0066105","13","19402","2020","2021-01-01","2024-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2021.zip"
