"idx","amostra","na_amostra_40","id_mandato_bocel","id_municipio_ibge","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","url_diario","trecho"
24,"30_alta",FALSE,"M2008_75353_13_45647_7922","4106902","2012-03-13","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"JOÃO CLÁUDIO DEROSSO","https://data.queridodiario.ok.org.br/4106902/2012-03-13/f9efc1b187fbebda08beebcdf167e57e442a2050.pdf","E S A N° 04/2012 A MESA DA CÂMARA MUNICIPAL DE CURITIBA, CAPITAL DO ESTADO DO PARANÁ, no uso de suas atribuições legais, R E S O L V E : DECLARAR vago o cargo de Presidente da Mesa deste Legislativo, no biênio 2011/2012, em razão da <<renúncia do Vereador>> JOÃO CLAUDIO DEROSSO, deste Cargo, conforme Ofício lido na Sessão Plenária do dia 12 de março de 2012, nos termos do Art. 30 do Regimento Interno, pelo que é convocada eleição para o seu preenchimento nos termos regimentais. PALÁCIO RIO"
25,"30_alta",FALSE,"M2016_66192_13_45111_250000025653","3525904","2019-08-23","alta","licenca","licenca","nome_completo_no_trecho",NA,"RAFAEL ANTONUCCI","https://data.queridodiario.ok.org.br/3525904/2019-08-23/b8223470483f67752ab3c1fface6fe746badac80.pdf","Requerimentos - ao Plenário: Nº. 233/2019 - DOUGLAS DO NASCIMENTO MEDEIROS - PRORROGAÇÃO do prazo dos trabalhos da Frente Parlamentar em Defesa da Família, objeto do Requerimento nº. 48/2017. Nº. 234/2019 - RAFAEL ANTONUCCI - <<LICENÇA do Vereador>> RAFAEL ANTONUCCI, no período de 28 de agosto a 26 de setembro de 2019, para trato de assuntos particulares. - à Presidência: Nº. 556/2019 - MESA DIRETORA - RETIRADA do Projeto de Resolução n.º 823, de autoria da Mesa Diretora"
26,"30_alta",FALSE,"M2016_70750_13_45255_250000009810","3548708","2018-01-12","alta","licenca","licenca","nome_completo_no_trecho",NA,"MARIO HENRIQUE DE ABREU","https://data.queridodiario.ok.org.br/3548708/2018-01-12/e1b1b591eaa0b29e3e50834e547fa733f0b34c2b.pdf","usando das atribuições que lhe são conferidas por lei; RESOLVE: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XIV, do artigo 30, do Regimento Interno, a <<suplente de Vereador>> pelo Partido da Social Democracia Brasileira - PSDB, Sra. LIANIA DUARTE DE OLIVEIRA FELICIANO, para substituir a partir de 29 de dezembro de 2017, o Vereador MARIO HENRIQUE DE ABREU, em licença médica. São Bernardo do Campo, em 22 de dezembro"
27,"30_alta",FALSE,"M2012_90514_13_45045_120000006320","5002704","2014-12-30","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"ROSIANE MODESTO DE OLIVEIRA","https://data.queridodiario.ok.org.br/5002704/2014-12-30/04fec88ab6b0aad40cbb04e4aabc7ccfa224e262.pdf","Reavaliação do Patrimônio desta Câmara Municipal. Art. 2º - Esta Portaria entra em vigor na data de sua publicação. Câmara Municipal de Campo Grande - MS, 29 de dezembro de 2014. MARIO CESAR Presidente CONVOCAÇÃO Em decorrência do pedido de <<RENÚNCIA>> da Vereadora ROSIANE MODESTO DE OLIVEIRA, protocolizado nesta Casa sob o nº 16205, em 18/12/14, e com base no art. 99 do Regimento Interno deste Poder, convoco o suplente JOSÉ CHADID, eleito no pleito realizado no dia 07 de outubro de 2012, para"
28,"30_alta",FALSE,"M2016_90670_13_20300_110000008463","5103403","2020-03-10","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"ABILIO JACQUES BRUNINI MOUMER","https://data.queridodiario.ok.org.br/5103403/2020-03-10/12a22577309c53b2979a3a9454bac14d0ec877e7.pdf","cassação do Mandato Parlamentar do Vereador Abílio, em Sessão Plenária previamente convocada para este fim, e que os votos foram dados de forma aberta, mediante chamada nominal de cada Vereador: DECRETA: Art. 1º Fica decretada a <<PERDA DO MANDATO>> DO VEREADOR ABÍLIO JACQUES BRUNINI MOUMER, cujo nome parlamentar é ABÍLIO JÚNIOR, do Partido PSC, POR QUEBRA DE DECORO PARLAMENTAR, de acordo com a decisão proferida pelo Soberano Plenário da Câmara Municipal de Cuiabá"
29,"30_alta",FALSE,"M2012_90514_13_45045_120000006320","5002704","2015-01-08","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"ROSIANE MODESTO DE OLIVEIRA","https://data.queridodiario.ok.org.br/5002704/2015-01-08/065dc3a75cfb9535a26e485d95685b082ccd68ec.pdf","posteriormente. Em seguida o Presidente dos trabalhos da solenidade, declarou os membros da Mesa Diretora empossados. Em ato continuo a Mesa Diretora empossada deu posse ao Sr. José Chadid (sem partido), à titularidade do mandato, em decorrência da <<renúncia>> da Vereadora Rosiane Modesto de Oliveira (PSDB). Após, eu, Vereador Mario Cesar, Presidente eleito e empossado, declarei encerrada a presente sessão. Câmara Municipal de Campo Grande, 1º de Janeiro de 2015. VEREADOR MARIO CESAR Presidente ATOS"
30,"30_alta",FALSE,"M2020_70718_13_11611_250001085158","3548500","2022-06-23","alta","licenca","licenca","nome_completo_no_trecho",NA,"ADILSON DOS SANTOS JUNIOR","https://data.queridodiario.ok.org.br/3548500/2022-06-23/015b3e9911161cbb79358e1ff96e54a3709ce4b1.pdf","C/C 01 034.709-8 Santos, 21 de junho de 2022 VISON BORGES LUZ A Câmara Municipal de Santos aprovou, na 36ª Sessão Ordinária realizada, em 14 de junho de 2022, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 10 14 DE JUNHO DE 2022 <<LICENÇA DO VEREADOR>> ADILSON DOS SAN- TOS JUNIOR, E DÁ OUTRAS PROVIDÊNCIAS Art. 1º O Vereador Adilson dos Santos Junior en- contra-se de licença, nos termos previstos no in- ciso II do artigo 73 do Regimento Interno, a partir de 10/06/2022 a 18/06/2022, para"
31,"20_media",TRUE,"M2024_89575_11_40_210001970800","4322707","2026-02-11","media","renuncia",NA,"nome_completo_no_trecho","sem_ancora_nome_cargo_termo","GILSON ADRIANO BECKER","https://data.queridodiario.ok.org.br/4322707/2026-02-11/be1d05f37fcfcb72e33768f48e4a1dd2a7383967.pdf","apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 11 de fevereiro de 2026. GILSON ADRIANO BECKER Prefeito Vera Cruz/RS, Quarta-feira, 11 de Fevereiro de 2026 - Edição 1898 - Lei 4.683/18 _____________________________________________________________________________________"
32,"20_media",TRUE,"M2020_89575_11_40_210000686551","4322707","2022-01-20","media","renuncia",NA,"nome_completo_no_trecho","sem_ancora_nome_cargo_termo","GILSON ADRIANO BECKER","https://data.queridodiario.ok.org.br/4322707/2022-01-20/73040f39d88a7b18a1de2562acad86bcace56240.pdf"," setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 20 de janeiro de 2022. GILSON ADRIANO BECKER Prefeito Vera Cruz/RS, Quinta-feira, 20 de Janeiro de 2022 - Edição 912 - Lei 4.683/18 _____________________________________________________________________________________"
33,"20_media",TRUE,"M2012_75353_13_10123_160000014972","4106902","2016-04-11","media","renuncia",NA,"tokens_primeiro_e_ultimo_nome_unico",NA,"VALDEMIR MANOEL SOARES","https://data.queridodiario.ok.org.br/4106902/2016-04-11/c27e6ce2294aace2daffdedb2f6245461d20a79c.pdf","Legislativo CÂMARA MUNICIPAL DE CURITIBA - CMC DIÁRIO OFICIAL ELETRÔNICO ATOS DO MUNICÍPIO DE CURITIBA Nº 67 - ANO V CURITIBA, SEGUNDA-FEIRA, 11 DE ABRIL DE 2016 Página 5 ATO DA MESA Nº 4 declarar, vaga uma cadeira neste Legislativo, em razão da <<renúncia>> do mandato do Vereador Valdemir Soares, nos termos do Parágrafo Único do Artigo 26 da Lei Orgânica do Município de Curitiba, combinado com o Art. 15 do Regimento Interno da Câmara Municipal de Curitiba, a partir do dia 06 de abril do corrente ano"
