chave_cand,comp_raiz,id_pessoa_esperado,leitura_fusao
2008_25151_13_14615_7240,r19996,BOCEL0076518,
2012_25151_11_14_170000005556,r19996,BOCEL1560417,
1998_PE_7_13144_170001707131441,r20106,BOCEL0009112,
2000_25313_11_13_149,r20106,BOCEL0009112,
2000_25313_12_651_169,r20106,BOCEL1559529,
2004_25313_11_13_420,r20106,BOCEL0009112,
2004_25313_12_13_425,r20106,BOCEL1559529,
2008_25313_13_65100_5411,r20106,BOCEL1559529,
2010_PE_6_1333_170000000749,r20106,BOCEL0009112,
2010_PE_7_65100_170000000820,r20106,BOCEL1559529,
2012_25313_12_40_170000005777,r20106,BOCEL1559529,
2016_25313_12_40_170000021102,r20106,BOCEL1559529,
2018_PE_7_65113_170000621386,r20106,BOCEL0009112,
2022_PE_7_13113_170001608984,r20106,BOCEL0009112,
2000_27219_13_14444_225,r20976,BOCEL1560004,
2000_27219_13_14666_227,r20976,BOCEL0033083,
2004_27219_12_14_88,r20976,BOCEL1560005,
2004_27219_13_15666_92,r20976,BOCEL0033083,
2008_27219_13_11666_954,r20976,BOCEL0033083,
2000_27596_13_33333_130,r21198,BOCEL0027304,
2004_27596_12_22_115,r21198,BOCEL0027304,
2008_27596_12_11_7169,r21198,BOCEL0027304,
2008_27596_13_70000_2988,r21198,BOCEL1559827,
2012_27596_11_70_20000001484,r21198,BOCEL0027304,
2016_27596_11_70_20000002933,r21198,BOCEL0027304,
2020_27596_13_70777_20000847137,r21198,BOCEL1559827,
2024_27596_11_15_20002016461,r21198,BOCEL0027304,
2000_28193_13_25610_147,r21544,BOCEL1559588,
2000_28193_13_45645_142,r21544,BOCEL0013161,
2004_28193_13_22211_77,r21544,BOCEL1559588,
2008_28193_12_11_1083,r21544,BOCEL0013161,
2012_28193_12_11_20000005551,r21544,BOCEL0013161,
2012_28193_13_11333_20000005565,r21544,BOCEL1559588,
2016_28193_11_55_20000001657,r21544,BOCEL0013161,
2000_28517_13_14111_90,r21740,BOCEL1560031,
2000_28517_13_14456_85,r21740,BOCEL0017247,
2004_28517_13_11111_31,r21740,BOCEL0017247,
2004_28517_13_11789_29,r21740,BOCEL1560031,
2008_28517_13_11111_574,r21740,BOCEL0017247,
2000_28673_11_45_153,r21836,BOCEL0038332,
2000_28673_12_451_154,r21836,BOCEL1559986,
2000_31003_12_401_2,r22270,BOCEL0004847,
2004_31003_12_25_115,r22270,BOCEL0004847,
2004_31003_13_17000_126,r22270,BOCEL1559465,
2008_31003_13_14606_796,r22270,BOCEL0004847,
2000_31151_13_45600_143,r22385,BOCEL1559512,
2004_31151_13_22333_176,r22385,BOCEL1559512,
2008_31151_13_10333_1047,r22385,BOCEL1559512,
2008_31151_13_25666_544,r22385,BOCEL0008308,
2012_31151_13_25666_260000001044,r22385,BOCEL0008308,
2016_31151_11_77_260000005195,r22385,BOCEL0008308,
2020_31151_11_11_260001071102,r22385,BOCEL0008308,
2000_33693_11_25_61,r23722,BOCEL0088495,nome_diferente_mesmo_nascimento
2000_33693_13_25615_66,r23722,BOCEL1560532,
2008_33693_11_25_5222,r23722,BOCEL0088495,nome_diferente_mesmo_nascimento
2012_33693_11_55_50000020368,r23722,BOCEL0088495,nome_diferente_mesmo_nascimento
2000_34215_11_14_21,r24122,BOCEL0034005,
2000_34215_13_11654_75,r24122,BOCEL1559918,
2004_34215_13_25888_52,r24122,BOCEL1559918,
2008_34215_11_44_54,r24122,BOCEL0034005,
2008_34215_13_44777_27601,r24122,BOCEL1559918,
2012_34215_11_12_50000024503,r24122,BOCEL0034005,
2000_35572_13_13610_34,r25071,BOCEL0159536,
2000_35572_13_13690_36,r25071,BOCEL1561057,
2004_35572_13_13333_45,r25071,BOCEL0159536,
2008_35572_12_36_5883,r25071,BOCEL0159536,
2000_35998_13_25611_264,r25409,BOCEL0001158,
2000_35998_13_25699_267,r25409,BOCEL1560034,
2000_37338_13_11111_68,r26378,BOCEL1561120,
2000_37338_13_20123_74,r26378,BOCEL0168519,
2004_37338_13_25600_59,r26378,BOCEL0168519,
2000_37770_11_25_177,r26730,BOCEL0158869,
2000_37770_12_251_178,r26730,BOCEL1561046,
2004_37770_11_25_168,r26730,BOCEL0158869,
2004_37770_12_25_172,r26730,BOCEL1561047,
2000_38130_13_25680_228,r27008,BOCEL1560864,
2004_38130_13_44123_14,r27008,BOCEL0136610,
2004_38130_13_44789_16,r27008,BOCEL1560864,
2008_38130_13_44123_219,r27008,BOCEL0136610,
2012_38130_13_15123_50000006609,r27008,BOCEL0136610,
2000_38474_12_111_282,r27254,BOCEL0112713,
2004_38474_13_11620_91,r27254,BOCEL1561227,
2008_38474_12_15_1086,r27254,BOCEL1561227,
2012_38474_13_11620_50000012186,r27254,BOCEL0112713,
2016_38474_12_55_50000010513,r27254,BOCEL0112713,
2000_39276_13_14602_174,r27896,BOCEL0031019,
2004_39276_13_11611_326,r27896,BOCEL1560241,
2004_39276_13_70602_94,r27896,BOCEL0031019,
2008_39276_13_22600_6244,r27896,BOCEL0031019,
2000_41513_13_15650_155,r30380,BOCEL1560076,
2008_41513_11_15_14284,r30380,BOCEL0044845,
2012_41513_11_15_130000032497,r30380,BOCEL0044845,
2000_41602_12_121_249,r30481,BOCEL1561167,
2000_41602_13_12645_252,r30481,BOCEL0169450,nome_diferente_mesmo_nascimento
2004_41602_13_12345_390,r30481,BOCEL0169450,nome_diferente_mesmo_nascimento
2008_41602_13_22345_61749,r30481,BOCEL0169450,nome_diferente_mesmo_nascimento
2016_41602_13_14123_130000017418,r30481,BOCEL0169450,nome_diferente_mesmo_nascimento
2000_41602_13_12678_260,r30485,BOCEL1561290,
2000_41602_13_12689_256,r30485,BOCEL0198633,
2000_41629_11_15_161,r30502,BOCEL0173830,
2000_41629_12_151_162,r30502,BOCEL1561158,
2008_41629_11_15_56082,r30502,BOCEL0173830,
2008_41629_12_15_56083,r30502,BOCEL1561158,
2000_41661_13_15650_149,r30555,BOCEL1561302,
2004_41661_12_45_55,r30555,BOCEL0200022,
2008_41661_12_45_62346,r30555,BOCEL0200022,
2012_41661_11_45_130000012368,r30555,BOCEL0200022,
2016_41661_11_45_130000075947,r30555,BOCEL0200022,
2000_42536_12_251_264,r31586,BOCEL1560933,
2004_42536_11_14_209,r31586,BOCEL0146353,
2004_42536_13_40777_193,r31586,BOCEL1560933,
2008_42536_11_14_55641,r31586,BOCEL0146353,
2020_42536_11_77_130001200149,r31586,BOCEL0146353,
2024_42536_11_77_130002363501,r31586,BOCEL0146353,
2000_43915_13_27787_175,r32506,BOCEL0131806,
2004_43915_13_27787_71,r32506,BOCEL0131806,
2012_43915_13_40852_130000000919,r32506,BOCEL1561392,
2000_43990_11_12_181,r32550,BOCEL0185824,
2000_43990_13_25611_228,r32550,BOCEL1561208,mesmo_nome_nascimento_diferente
2004_43990_11_12_25,r32550,BOCEL0185824,
2004_43990_13_12615_35,r32550,BOCEL1561208,mesmo_nome_nascimento_diferente
2020_43990_11_12_130000874535,r32550,BOCEL0185824,
2000_44130_12_251_458,r32624,BOCEL0151709,
2004_44130_11_25_279,r32624,BOCEL0151709,
2008_44130_11_25_4887,r32624,BOCEL0151709,
2012_44130_12_22_130000072682,r32624,BOCEL0151663,
2000_44431_13_25610_448,r32819,BOCEL0074196,
2004_44431_13_25613_76,r32819,BOCEL1560390,
2000_45276_11_41_933,r33336,BOCEL1560666,
2000_45276_13_41616_422,r33336,BOCEL0105813,mesmo_nome_nascimento_diferente
2004_45276_11_23_203,r33336,BOCEL1560666,
2004_45276_13_23616_62,r33336,BOCEL0105813,mesmo_nome_nascimento_diferente
2008_45276_12_17_47369,r33336,BOCEL0105813,mesmo_nome_nascimento_diferente
2012_45276_12_17_130000083911,r33336,BOCEL0105813,mesmo_nome_nascimento_diferente
2016_92703_13_28300_90000024816,r339190,BOCEL1560793,
2018_GO_7_28028_90000610440,r339190,BOCEL0126366,
2022_GO_7_28028_90001644185,r339190,BOCEL0126366,
2000_47651_13_14170_195,r34889,BOCEL0018044,
2004_47651_11_14_1,r34889,BOCEL1559771,
2004_47651_13_14170_102,r34889,BOCEL0018044,
2024_47651_11_15_130001993375,r34889,BOCEL1559771,
2000_51217_12_221_466,r37236,BOCEL1561395,
2008_51217_13_11611_17370,r37236,BOCEL0224084,
2012_51217_13_11611_130000002286,r37236,BOCEL0224084,
2000_04278_13_41633_1439,r3752,BOCEL0076760,
2004_04278_13_12345_73,r3752,BOCEL0076760,
2016_04278_13_33123_140000004976,r3752,BOCEL1560670,
2020_04278_13_25123_140000698941,r3752,BOCEL1560670,
2000_51691_13_25650_325,r37554,BOCEL1561368,
2000_51691_13_25670_332,r37554,BOCEL0188234,
2004_51691_11_25_123,r37554,BOCEL1561368,
2004_51691_13_11670_172,r37554,BOCEL0188234,
2008_51691_11_25_61541,r37554,BOCEL1561368,
2008_51691_13_11670_62163,r37554,BOCEL0188234,
2012_51691_13_25670_130000071575,r37554,BOCEL0188234,
2000_53155_13_22601_177,r38434,BOCEL0140330,
2004_53155_13_45632_257,r38434,BOCEL1561415,
2004_53155_13_45644_252,r38434,BOCEL0140330,
2008_53155_13_45614_35385,r38434,BOCEL0140330,
2008_53155_13_45632_35395,r38434,BOCEL1561415,
2016_53155_13_22233_130000004199,r38434,BOCEL1561415,
2000_53490_13_25625_304,r38639,BOCEL0130635,
2004_53490_12_12_80,r38639,BOCEL0130635,
2004_53490_13_23300_296,r38639,BOCEL1561341,
2008_53490_12_12_32396,r38639,BOCEL0130635,
2008_53490_13_23300_31953,r38639,BOCEL1561341,
2012_53490_13_40400_130000001203,r38639,BOCEL1561341,
2000_54330_12_451_249,r39214,BOCEL0010034,
2004_54330_13_14444_343,r39214,BOCEL0010034,
2008_54330_13_14444_63747,r39214,BOCEL0010034,
2012_54330_13_55123_130000025230,r39214,BOCEL0010034,
2020_54330_13_14999_130001129830,r39214,BOCEL1561455,
2000_56057_13_45680_33,r39439,BOCEL1559657,
2000_56057_13_45789_32,r39439,BOCEL0017406,
2004_56057_13_40789_44,r39439,BOCEL0017406,
2008_56057_13_40789_2983,r39439,BOCEL0017406,
2012_56057_13_40789_80000001088,r39439,BOCEL0017406,
2000_56596_13_15600_191,r39980,BOCEL1559718,
2004_56596_13_15600_136,r39980,BOCEL1559718,
2008_56596_13_15600_7196,r39980,BOCEL0020697,
2012_56596_13_15600_80000011803,r39980,BOCEL0020697,
2016_56596_13_12600_80000009297,r39980,BOCEL0020697,
2000_56790_13_25125_108,r40143,BOCEL1560072,
2004_56790_11_33_34,r40143,BOCEL0044720,
2008_56790_11_33_5685,r40143,BOCEL0044720,
2000_58050_13_11600_261,r40595,BOCEL1561226,
2000_58050_13_15601_124,r40595,BOCEL0189206,mesmo_nome_nascimento_diferente
2004_58050_12_43_238,r40595,BOCEL0189206,mesmo_nome_nascimento_diferente
2008_58050_12_11_10535,r40595,BOCEL0189206,mesmo_nome_nascimento_diferente
2012_58050_11_15_190000002525,r40595,BOCEL0189206,mesmo_nome_nascimento_diferente
2000_58165_12_111_222,r40770,BOCEL1560939,
2000_58165_13_15677_195,r40770,BOCEL0146704,mesmo_nome_nascimento_diferente
2004_58165_11_12_274,r40770,BOCEL1560939,
2004_58165_13_12677_298,r40770,BOCEL0146704,mesmo_nome_nascimento_diferente
2012_58165_13_22677_190000026357,r40770,BOCEL0146704,mesmo_nome_nascimento_diferente
2016_58165_13_22677_190000020792,r40770,BOCEL0146704,mesmo_nome_nascimento_diferente
2020_58165_12_15_190000830331,r40770,BOCEL0146704,mesmo_nome_nascimento_diferente
2024_58165_13_15677_190002154788,r40770,BOCEL0146704,mesmo_nome_nascimento_diferente
2000_04669_13_45234_266,r4236,BOCEL0019419,
2004_04669_13_11789_227,r4236,BOCEL1559702,
2004_04669_13_45600_249,r4236,BOCEL0019419,
2008_04669_13_11789_11199,r4236,BOCEL1559702,
2008_04669_13_70123_10643,r4236,BOCEL0019419,
2000_61344_12_141_413,r42395,BOCEL1561432,
2004_61344_12_14_21,r42395,BOCEL1561432,
2004_61344_13_14633_24,r42395,BOCEL0171654,
2008_61344_11_14_55290,r42395,BOCEL1561432,
2008_61344_13_14633_55538,r42395,BOCEL0171654,
2012_61344_13_14633_250000006881,r42395,BOCEL0171654,
2016_61344_13_14633_250000036222,r42395,BOCEL0171654,
2024_61344_13_23633_250002226470,r42395,BOCEL0171654,
2000_61522_13_11601_170,r42620,BOCEL1561160,
2000_61522_13_13333_169,r42620,BOCEL0176806,
2004_61522_13_11600_66,r42620,BOCEL1561160,
2016_61522_13_13123_250000036809,r42620,BOCEL0176806,
2020_61522_13_13123_250001017931,r42620,BOCEL0176806,
2000_63690_11_25_59,r44740,BOCEL0085511,
2000_63690_12_151_202,r44740,BOCEL1560500,
2004_63690_11_15_174,r44740,BOCEL0085511,
2000_63975_13_45611_145,r44956,BOCEL0174904,
2000_63975_13_45632_125,r44956,BOCEL1561144,
2020_63975_13_19611_250000998851,r44956,BOCEL0174904,
2000_64378_13_45677_208,r45262,BOCEL0180879,
2004_64378_13_45666_182,r45262,BOCEL1561183,
2000_66516_12_111_158,r46869,BOCEL1561177,
2000_66516_13_11600_182,r46869,BOCEL0180250,
2004_66516_13_22000_32,r46869,BOCEL0180250,
2008_66516_13_22000_41827,r46869,BOCEL0180250,
2016_66516_12_11_250000088401,r46869,BOCEL0180250,
2020_66516_12_45_250001238499,r46869,BOCEL0180250,
2000_67016_13_15691_167,r47231,BOCEL1561325,
2004_67016_13_13258_50,r47231,BOCEL0205241,
2004_67016_13_15691_69,r47231,BOCEL1561325,
2008_67016_13_13258_116,r47231,BOCEL0205241,
2012_67016_13_13258_250000026325,r47231,BOCEL0205241,
2012_67016_13_15691_250000026328,r47231,BOCEL1561325,
2016_67016_13_15258_250000017844,r47231,BOCEL0205241,
2016_67016_13_15691_250000017845,r47231,BOCEL1561325,
2020_67016_13_15258_250000946738,r47231,BOCEL0205241,
2000_69159_13_25604_44,r48796,BOCEL0195016,
2004_69159_13_25444_42,r48796,BOCEL1561257,
2000_05630_13_11118_429,r4959,BOCEL0011587,
2004_05630_13_11000_115,r4959,BOCEL1559560,
2000_70874_13_45607_313,r50064,BOCEL1561206,
2008_70874_13_14100_7599,r50064,BOCEL0185596,
2012_70874_13_14100_250000037390,r50064,BOCEL0185596,
2016_70874_13_43100_250000042992,r50064,BOCEL0185596,
2020_70874_13_43100_250001078950,r50064,BOCEL0185596,
2024_70874_13_55100_250001990639,r50064,BOCEL0185596,
2000_72133_13_23001_125,r51042,BOCEL0162796,
2004_72133_13_15147_103,r51042,BOCEL1561076,
2008_72133_13_25456_37675,r51042,BOCEL0162796,
2000_73121_13_11603_337,r51412,BOCEL0119466,
2004_73121_13_22333_54,r51412,BOCEL0119466,
2008_73121_13_40123_2880,r51412,BOCEL1560794,
2000_73601_13_25609_259,r51941,BOCEL0047632,
2000_73601_13_25610_261,r51941,BOCEL1560121,
2004_73601_11_25_12,r51941,BOCEL0047632,
2004_73601_13_13456_11,r51941,BOCEL1560121,
2008_73601_11_25_1,r51941,BOCEL0047632,
2000_74594_13_40610_252,r52660,BOCEL0190275,
2004_74594_13_40610_118,r52660,BOCEL1561276,
2000_74616_11_45_100,r52673,BOCEL0084350,
2000_74616_12_141_101,r52673,BOCEL1560494,
2004_74616_11_45_146,r52673,BOCEL0084350,
2008_74616_11_45_27604,r52673,BOCEL0084350,
2000_74780_13_15655_149,r52878,BOCEL1560815,
2000_74780_13_15690_156,r52878,BOCEL0130786,
2004_74780_13_23690_138,r52878,BOCEL0130786,
2008_74780_13_23690_13993,r52878,BOCEL0130786,
2012_74780_13_23690_160000006579,r52878,BOCEL0130786,
2016_74780_13_15690_160000024416,r52878,BOCEL0130786,
2020_74780_11_15_160000684228,r52878,BOCEL0130786,
2024_74780_11_55_160002041187,r52878,BOCEL0130786,
2000_74845_13_25601_74,r52955,BOCEL1560980,
2000_74845_13_25606_70,r52955,BOCEL0152746,
2004_74845_13_15606_12,r52955,BOCEL0152746,
2008_74845_13_11211_699,r52955,BOCEL0152746,
2012_74845_13_13123_160000000376,r52955,BOCEL1560980,
2024_74845_13_44444_160002323157,r52955,BOCEL0152746,
