legislatura,nome,ult_presenca,n_presencas,n_presencas_trecho,n_sessoes_trecho,sustenta
29,ADERLANIA NORONHA,2018-12-18,650,63,115,TRUE
29,SERGIO AGUIAR,2018-12-18,869,77,115,TRUE
29,DUQUINHA,2018-12-18,956,82,115,TRUE
29,MIRIAN SOBREIRA,2018-12-18,365,53,115,TRUE
29,DAVID DURAND,2018-12-18,979,88,115,TRUE
29,ELMANO,2018-12-18,808,69,115,TRUE
29,MOISES BRAZ,2018-12-18,773,78,115,TRUE
29,ANTONIO GRANJA,2018-12-17,662,71,115,TRUE
29,JEOVA MOTA,2018-12-18,451,77,115,TRUE
29,ODILON AGUIAR,2018-12-18,722,59,115,TRUE
29,ZEZINHO ALBUQUERQUE,2018-12-18,502,57,115,TRUE
29,DR. SARTO,2018-12-18,737,61,115,TRUE
29,ROBERIO MONTEIRO,2018-12-18,762,68,115,TRUE
29,GONY ARRUDA,2018-12-18,740,78,115,TRUE
29,OSMAR BAQUIT,2018-12-06,213,21,115,TRUE
29,DR BRUNO GONCALVES,2018-12-18,683,44,115,TRUE
29,AUDIC MOTA,2018-12-18,801,70,115,TRUE
30,SOLDADO NOÉLIO,2022-12-14,701,53,69,TRUE
30,AUGUSTA BRITO,2022-12-14,842,67,69,TRUE
30,DR. CARLOS FELIPE,2022-12-14,671,48,69,TRUE
30,DAVID DURAND,2022-12-14,837,66,69,TRUE
30,HEITOR FÉRRER,2022-12-14,801,63,69,TRUE
30,ADERLÂNIA NORONHA,2022-12-14,579,14,69,TRUE
30,ÉRIKA AMORIM,2022-12-14,777,57,69,TRUE
30,AGENOR NETO,2022-12-14,658,62,69,TRUE
30,DANNIEL OLIVEIRA,2022-12-13,472,21,69,TRUE
30,LEONARDO ARAÚJO,2022-12-14,483,20,69,TRUE
30,WALTER CAVALCANTE,2022-12-14,806,68,69,TRUE
30,NIZO COSTA,2022-12-14,701,69,69,TRUE
30,APÓSTOLO LUIZ HENRIQUE,2022-12-13,558,43,69,TRUE
30,FERNANDA PESSOA,2022-12-13,717,48,69,TRUE
30,NELINHO,2022-12-14,532,41,69,TRUE
30,DELEGADO CAVALCANTE,2022-12-14,657,36,69,TRUE
30,ANDRÉ FERNANDES,2022-12-14,441,22,69,TRUE
30,JÚLIO CÉSAR FILHO,2022-12-14,827,67,69,TRUE
30,FERNANDO SANTANA,2022-12-14,737,51,69,TRUE
30,ACRÍSIO SENA,2022-12-14,767,69,69,TRUE
30,AUDIC MOTA,2022-12-14,660,53,69,TRUE
30,SÉRGIO AGUIAR,2022-12-14,803,54,69,TRUE
30,DRA. SILVANA,2022-12-07,703,46,69,TRUE
30,SALMITO,2022-12-14,814,61,69,TRUE
30,ANTÔNIO GRANJA,2022-12-14,775,62,69,TRUE
30,EVANDRO LEITÃO,2022-12-13,719,29,69,TRUE
30,BRUNO PEDROSA,2022-12-14,551,46,69,TRUE
30,FERNANDO HUGO,2022-12-13,407,37,69,TRUE
30,LEONARDO PINHEIRO,2022-12-14,558,58,69,TRUE
30,JEOVÁ MOTA,2022-12-14,772,43,69,TRUE
30,QUEIROZ FILHO,2022-12-14,820,59,69,TRUE
30,ZEZINHO ALBUQUERQUE,2022-12-06,15,5,69,TRUE
30,TIN GOMES,2022-12-14,686,51,69,TRUE
30,OSMAR BAQUIT,2022-12-14,670,66,69,TRUE
30,ROMEU ALDIGUERI,2022-12-14,781,61,69,TRUE
30,MARCOS SOBREIRA,2022-12-14,747,69,69,TRUE
30,JOÃO JAIME,2022-12-14,589,54,69,TRUE
30,GUILHERME LANDIM,2022-12-14,861,57,69,TRUE
30,RENATO ROSENO,2022-12-14,893,69,69,TRUE
