id_mandato,esfera,forma_saida,fonte_forma_saida,data_posse,data_fim_efetiva,mandato_fim
M2000_18457_11_22_112,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_18619_11_15_40,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_18651_11_25_152,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19020_11_12_326,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19127_11_15_224,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19194_11_15_268,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19372_11_15_170,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19526_11_25_175,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19674_11_25_1,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19720_11_25_110,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19798_11_44_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_19860_11_22_246,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_20494_11_25_153,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_20613_11_12_143,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_21130_11_15_121,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_21610_11_15_294,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_21695_11_25_208,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_21911_11_12_47,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_22039_11_15_175,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_22250_11_12_143,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_22292_11_25_161,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_22373_11_11_145,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_23027_11_45_300,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_23310_11_15_141,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_23353_11_15_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
