id_mandato,sg_uf,sg_ue,cargo,ano_eleicao,forma_saida,fonte_forma_saida
"M2020_19682_11_10_150000654766","PB","19682","PREFEITO","2020","fim_regular","tce"
"M2012_19690_11_45_150000015427","PB","19690","PREFEITO","2012","fim_regular","tce"
"M2016_19690_11_15_150000005467","PB","19690","PREFEITO","2016","fim_regular","tce"
"M2020_19690_11_15_150000666117","PB","19690","PREFEITO","2020","fim_regular","tce"
"M2012_19704_11_25_150000003334","PB","19704","PREFEITO","2012","fim_regular","tce"
"M2016_19704_11_25_150000006442","PB","19704","PREFEITO","2016","fim_regular","tce"
"M2020_19704_11_25_150001103267","PB","19704","PREFEITO","2020","fim_regular","tce"
"M2016_19712_11_40_150000008959","PB","19712","PREFEITO","2016","fim_regular","tce"
"M2020_19712_11_23_150000763822","PB","19712","PREFEITO","2020","fim_regular","tce"
"M2012_19720_11_40_150000005898","PB","19720","PREFEITO","2012","fim_regular","tce"
"M2016_19720_11_40_150000009569","PB","19720","PREFEITO","2016","fim_regular","tce"
"M2020_19720_11_22_150001101209","PB","19720","PREFEITO","2020","fim_regular","tce"
"M2012_19739_11_40_150000009590","PB","19739","PREFEITO","2012","fim_regular","tce"
"M2016_19739_11_40_150000001003","PB","19739","PREFEITO","2016","fim_regular","tce"
"M2012_19747_11_45_150000007263","PB","19747","PREFEITO","2012","fim_regular","tce"
"M2016_19747_11_45_150000011955","PB","19747","PREFEITO","2016","fim_regular","tce"
"M2012_19763_11_15_150000003718","PB","19763","PREFEITO","2012","fim_regular","tce"
"M2016_19763_11_10_150000002893","PB","19763","PREFEITO","2016","fim_regular","tce"
"M2020_19763_11_55_150001214592","PB","19763","PREFEITO","2020","fim_regular","tce"
"M2012_19771_11_15_150000003089","PB","19771","PREFEITO","2012","fim_regular","tce"
"M2016_19771_11_15_150000006562","PB","19771","PREFEITO","2016","fim_regular","tce"
"M2012_19780_11_20_150000010505","PB","19780","PREFEITO","2012","fim_regular","tce"
"M2016_19780_11_55_150000013258","PB","19780","PREFEITO","2016","fim_regular","tce"
"M2012_19798_11_25_150000001033","PB","19798","PREFEITO","2012","fim_regular","tce"
"M2012_19801_11_20_150000000687","PB","19801","PREFEITO","2012","fim_regular","tce"
"M2016_19801_11_55_150000008490","PB","19801","PREFEITO","2016","fim_regular","tce"
"M2020_19801_11_11_150000734996","PB","19801","PREFEITO","2020","fim_regular","tce"
"M2012_19828_11_14_150000003731","PB","19828","PREFEITO","2012","fim_regular","tce"
"M2016_19828_11_14_150000007440","PB","19828","PREFEITO","2016","fim_regular","tce"
"M2020_19828_11_90_150000743765","PB","19828","PREFEITO","2020","outro","tce"
"M2012_19836_11_14_150000001234","PB","19836","PREFEITO","2012","fim_regular","tce"
"M2012_19844_11_55_150000002931","PB","19844","PREFEITO","2012","fim_regular","tce"
"M2016_19844_11_55_150000007342","PB","19844","PREFEITO","2016","fim_regular","tce"
"M2020_19844_11_22_150000803142","PB","19844","PREFEITO","2020","fim_regular","tce"
"M2012_19852_11_22_150000009345","PB","19852","PREFEITO","2012","fim_regular","tce"
"M2020_19852_11_25_150001025702","PB","19852","PREFEITO","2020","fim_regular","tce"
"M2016_19879_11_14_150000009847","PB","19879","PREFEITO","2016","fim_regular","tce"
"M2020_19879_11_25_150000960639","PB","19879","PREFEITO","2020","fim_regular","tce"
"M2016_19887_11_20_150000006186","PB","19887","PREFEITO","2016","fim_regular","tce"
"M2020_19887_11_23_150000653451","PB","19887","PREFEITO","2020","fim_regular","tce"
"M2012_19909_11_45_150000009135","PB","19909","PREFEITO","2012","fim_regular","tce"
"M2016_19909_11_25_150000002043","PB","19909","PREFEITO","2016","fim_regular","tce"
"M2012_19917_11_22_150000008074","PB","19917","PREFEITO","2012","fim_regular","tce"
"M2016_19917_11_22_150000005239","PB","19917","PREFEITO","2016","fim_regular","tce"
"M2020_19917_11_22_150001087073","PB","19917","PREFEITO","2020","outro","tce"
"M2012_19925_11_11_150000007018","PB","19925","PREFEITO","2012","fim_regular","tce"
"M2016_19925_11_55_150000005293","PB","19925","PREFEITO","2016","fim_regular","tce"
"M2020_19925_11_40_150001133180","PB","19925","PREFEITO","2020","fim_regular","tce"
"M2016_19933_11_40_150000007050","PB","19933","PREFEITO","2016","fim_regular","tce"
"M2012_19941_11_45_150000001285","PB","19941","PREFEITO","2012","fim_regular","tce"
"M2016_19941_11_12_150000000811","PB","19941","PREFEITO","2016","fim_regular","tce"
"M2020_19941_11_12_150000645085","PB","19941","PREFEITO","2020","fim_regular","tce"
"M2016_19950_11_12_150000011382","PB","19950","PREFEITO","2016","fim_regular","tce"
"M2012_19968_11_40_150000004468","PB","19968","PREFEITO","2012","fim_regular","tce"
"M2016_19968_11_12_150000003073","PB","19968","PREFEITO","2016","fim_regular","tce"
"M2020_19968_11_25_150000913636","PB","19968","PREFEITO","2020","fim_regular","tce"
"M2016_19976_11_12_150000013264","PB","19976","PREFEITO","2016","fim_regular","tce"
"M2020_19976_11_12_150000830275","PB","19976","PREFEITO","2020","outro","tce"
"M2012_19984_11_15_150000007304","PB","19984","PREFEITO","2012","fim_regular","tce"
"M2016_19984_11_12_150000002079","PB","19984","PREFEITO","2016","fim_regular","tce"
"M2020_19984_11_10_150001031362","PB","19984","PREFEITO","2020","fim_regular","tce"
"M2012_19992_11_55_150000003543","PB","19992","PREFEITO","2012","fim_regular","tce"
"M2016_19992_11_55_150000006425","PB","19992","PREFEITO","2016","fim_regular","tce"
"M2020_19992_11_25_150000937107","PB","19992","PREFEITO","2020","outro","tce"
"M2012_20001_11_40_150000000966","PB","20001","PREFEITO","2012","fim_regular","tce"
"M2016_20001_11_25_150000001370","PB","20001","PREFEITO","2016","fim_regular","tce"
"M2020_20001_11_23_150000948779","PB","20001","PREFEITO","2020","fim_regular","tce"
"M2016_20010_11_40_150000004003","PB","20010","PREFEITO","2016","fim_regular","tce"
"M2020_20010_11_23_150000895813","PB","20010","PREFEITO","2020","fim_regular","tce"
"M2016_20036_11_17_150000003013","PB","20036","PREFEITO","2016","fim_regular","tce"
"M2020_20036_11_23_150000687083","PB","20036","PREFEITO","2020","fim_regular","tce"
"M2012_20079_11_45_150000004627","PB","20079","PREFEITO","2012","fim_regular","tce"
"M2016_20079_11_45_150000001095","PB","20079","PREFEITO","2016","fim_regular","tce"
"M2020_20079_11_70_150000729222","PB","20079","PREFEITO","2020","fim_regular","tce"
"M2012_20095_11_40_150000001479","PB","20095","PREFEITO","2012","fim_regular","tce"
"M2020_20095_11_10_150000719867","PB","20095","PREFEITO","2020","fim_regular","tce"
"M2012_20117_11_15_150000001628","PB","20117","PREFEITO","2012","fim_regular","tce"
"M2016_20117_11_15_150000012826","PB","20117","PREFEITO","2016","fim_regular","tce"
"M2020_20117_11_15_150000691880","PB","20117","PREFEITO","2020","fim_regular","tce"
"M2012_20133_11_15_150000010471","PB","20133","PREFEITO","2012","fim_regular","tce"
"M2016_20133_11_45_150000001137","PB","20133","PREFEITO","2016","fim_regular","tce"
"M2012_20150_11_40_150000002992","PB","20150","PREFEITO","2012","fim_regular","tce"
"M2016_20150_11_55_150000004551","PB","20150","PREFEITO","2016","fim_regular","tce"
"M2020_20150_11_55_150000637707","PB","20150","PREFEITO","2020","fim_regular","tce"
"M2012_20176_11_22_150000002175","PB","20176","PREFEITO","2012","fim_regular","tce"
"M2012_20192_11_15_150000001648","PB","20192","PREFEITO","2012","fim_regular","tce"
"M2016_20192_11_15_150000003331","PB","20192","PREFEITO","2016","fim_regular","tce"
"M2020_20192_11_23_150000821135","PB","20192","PREFEITO","2020","fim_regular","tce"
"M2012_20214_11_20_150000015453","PB","20214","PREFEITO","2012","fim_regular","tce"
"M2016_20214_11_40_150000008864","PB","20214","PREFEITO","2016","fim_regular","tce"
"M2020_20214_11_11_150000670965","PB","20214","PREFEITO","2020","fim_regular","tce"
"M2012_20230_11_40_150000001720","PB","20230","PREFEITO","2012","fim_regular","tce"
"M2016_20230_11_15_150000013273","PB","20230","PREFEITO","2016","fim_regular","tce"
"M2020_20230_11_15_150000735433","PB","20230","PREFEITO","2020","fim_regular","tce"
"M2012_20257_11_40_150000001317","PB","20257","PREFEITO","2012","fim_regular","tce"
"M2016_20257_11_40_150000007223","PB","20257","PREFEITO","2016","fim_regular","tce"
"M2020_20257_11_23_150000642632","PB","20257","PREFEITO","2020","fim_regular","tce"
"M2012_20290_11_12_150000007480","PB","20290","PREFEITO","2012","fim_regular","tce"
"M2016_20290_11_15_150000009535","PB","20290","PREFEITO","2016","fim_regular","tce"
