"uf","ano_eleicao","legislatura","nome","nome_completo","data_nascimento","metodo_pareamento","id_mandato_bocel","nome_bocel","urna_bocel","dt_nasc_bocel","forma_saida","causa_original","url"
"SC","2006","16","Romildo Titon","Romildo Titon",NA,"tokens_nome_completo_no_civil","M2006_SC_7_15270_10046","ROMILDO LUIZ TITON","TITON","1954-08-24","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/126-16a_Legislatura"
"MG","2002","15","Luiz Fernando Faria","Luiz Fernando Faria",NA,"tokens_nome_completo_no_civil","M2002_MG_7_11211_1809","LUIZ FERNANDO RAMOS FARIA","LUIZ FERNANDO","1957-09-12","fim_regular","em exercicio ao fim da legislatura | perfil: Em exercício","https://www.almg.gov.br/deputados/luiz-fernando-faria/8943?legislatura=15"
"SC","2014","18","Narcizo Parisotto","Narcizo Parisotto",NA,"tokens_nome_completo_no_civil","M2014_SC_7_25104_240000000291","NARCIZO LUIZ PARISOTTO","PARISOTTO","1945-02-08","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/128-18a_Legislatura"
"MG","2018","19","Professor Cleiton","Professor Cleiton",NA,"tokens_no_nome_de_urna","M2018_MG_7_27700_130000615619","CLEITON DE OLIVEIRA","PROFESSOR CLEITON (CLEITINHO)","1977-05-28","fim_regular","em exercicio ao fim da legislatura | perfil: Em exercício","https://www.almg.gov.br/deputados/professor-cleiton/26119?legislatura=19"
"MG","2006","16","Lafayette de Andrada","Lafayette de Andrada",NA,"tokens_nome_completo_no_civil","M2006_MG_7_45045_11066","LAFAYETTE LUIZ DOORGAL DE ANDRADA","LAFAYETTE ANDRADA","1966-10-17","fim_regular","em exercicio ao fim da legislatura | perfil: Em exercício","https://www.almg.gov.br/deputados/lafayette-de-andrada/15254?legislatura=16"
"MT","1998","14","José Carlos de Freitas","Jose Carlos de Freitas",NA,"tokens_nome_completo_no_civil","M1998_MT_7_11133_110001107111331","JOSE CARLOS FREITAS MARTINS","JOSE CARLOS FREITAS","1957-02-02","nao_observado","titular","https://www.al.mt.gov.br/parlamento/membros-parlamentares"
"SC","2002","15","Lício Mauro da Silveira","Lício Mauro da Silveira",NA,"tokens_nome_completo_no_civil","M2002_SC_7_11135_416","LÍCIO MAURO FERREIRA DA SILVEIRA","LÍCIO","1943-03-27","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/125-15a_Legislatura"
"MG","2022","20","Duarte Bechir","Duarte Bechir",NA,"tokens_nome_completo_no_civil","M2022_MG_7_55789_130001604390","NACIB DUARTE BECHIR","DUARTE","1957-08-11","nao_observado","em exercicio ao fim da legislatura","https://www.almg.gov.br/deputados/duarte-bechir/17919?legislatura=20"
"SC","1998","14","Romildo Titon","Romildo Titon",NA,"tokens_nome_completo_no_civil","M1998_SC_7_15270_240002407152701","ROMILDO LUIZ TITON","TITON","1954-08-24","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/124-14a_Legislatura"
"SE","1998","14","Angélica Guimarães","Angélica Guimarães",NA,"tokens_nome_completo_no_civil","M1998_SE_7_14111_260002607141111","MARIA ANGELICA GUIMARAES MARINHO","DRA ANGELICA","1958-08-11","fim_regular","ativo (lista da legislatura)","https://aleselegis.al.se.leg.br/spl/parlamentar.aspx?id=40"
"SC","2010","17","Romildo Titon","Romildo Titon",NA,"tokens_nome_completo_no_civil","M2010_SC_7_15270_240000000326","ROMILDO LUIZ TITON","TITON","1954-08-24","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/127-17a_Legislatura"
"SC","2014","18","César Valduga","César Valduga",NA,"tokens_nome_completo_no_civil","M2014_SC_7_65123_240000000332","CESAR ANTONIO VALDUGA","VALDUGA","1961-05-20","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/128-18a_Legislatura"
"SC","2014","18","Dr. Vicente Caropreso","Dr. Vicente Caropreso",NA,"tokens_nome_completo_no_civil","M2014_SC_7_45999_240000000413","VICENTE AUGUSTO CAROPRESO","DR. VICENTE","1956-09-01","nao_observado","titular","https://memoriapolitica.alesc.sc.gov.br/legislativo/deputado-estadual/legislaturas/128-18a_Legislatura"
