"rodada","amostra","na_amostra_40","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","correto","motivo_erro","trecho"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","11","M2020_27537_13_25555_20000939895","2022-06-10","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"DOUGLAS CASTRO SIMÕES LESSA",0,"processo_de_cassacao_em_julgamento_sem_desfecho_no_trecho","Extraordinária da Câmara de Vereadores de Feliz Deserto Alagoas. Realizada em 06 de Junho de 2022. Aos seis dias do mês de Junho de 2022, no prédio sede da Câmara Municipal, reuniram-se os Vereadores de Feliz Deserto, em julgamento do Processo de <<Cassação>> do Mandato do Vereador Douglas Castro Simões Lessa. Tendo como presidente, o Vereador Jailton Florentino dos Santos, junto ao demais Vereadores presentes, www.diariomunicipal.com.br/ama "
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","12","M2012_61824_13_25678_250000043106","2015-08-07","alta","licenca","licenca","nome_completo_no_trecho",NA,"ABILIO DOS SANTOS FARIA",1,"NA","Filho, na Sede da Câmara Municipal, às 17:00 h, sob a presidência do Vereador Presidente Dejair da Silva, compareceu o Senhor João Carlos Rodrigues, 1º Suplente de Vereador eleito pela Coligação DEM-PP- PTB-PSB, convocada em virtude da <<licença do vereador>> Abilio dos Santos Faria. Cumpridas as formalidades legais de praxe, o Senhor Presidente, após prestado o compromisso e a apresentação do diploma previsto nos termos do Artigo 91, do Regimento Interno e da Lei Orgânica Municipal, declarou-o"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","13","M2008_17612_13_43333_3994","2011-02-11","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"PAULO WAGNER LEITE DANTAS",1,"NA","TEIXEIRA Presidente ATO DA PRESIDÊNCIA Nº 002/2011 O PRESIDENTE DA CÂMARA MUNICIPAL DO NATAL, atendendo ao que determinam os Ar ts. 19, V e VI, 85 e 94 do Regimento Interno desta Casa Legislativa (Resolução 337/05), RESOLVE: Ar t. 1º - Em vir tude da <<renúncia>> do Vereador Paulo Wagner Leite Dantas solicitada através do Processo nº 002/2011, datado de 27 de janeiro de 2011, fica convocado a assumir o mandato o Vereador Francisco de Assis Oliveira, tendo em vista tratar-se do primeiro suplente da coligação"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","14","M2016_17590_13_13123_200000010091","2019-01-30","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"MARIA ISOLDA DANTAS DE MOURA",1,"NA","Regimento Interno desta Casa de Leis; O PRESIDENTE EM EXERCÍCIO DA CÂMARA MUNICIPAL DE MOSSORÓ, no uso de suas atribuições legais, RESOLVE: Art. 1° Declarar extinto o mandato da Senhora Vereadora Maria Isolda Dantas de Moura, conforme o Pedido de <<Renúncia>> nº 001/2019. Art. 2º Convocar o Suplente de Vereador Gilberto Rego Diógenes,conforme disposto no Art. 325, § 2º do Regimento Interno, para tomar posse como Vereador da Câmara Municipal de Mossoró, no prazo de 15 dias a contar da data desta convocação"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","15","M2024_35157_13_22444_50001956470","2026-06-11","alta","licenca","licenca","nome_completo_no_trecho",NA,"ISMAEL BASTOS DE SANTANA",1,"NA","especial o que dispõe o Regimento Interno da Casa no inciso II, do artigo 142, convoca o primeiro suplente de Vereador pelo Partido Liberal (PL), o Sr. Fabiano Nascimento de Souza, para tomar posse no cargo de Vereador, em virtude do pedido de <<licença do Vereador>> Ismael Bastos de Santana, desde hoje, 10 de junho de 2026, sem vencimento, conforme art. 128, I, do Regimento Interno desta Casa Legislativa. Publique-se. Registre-se. Cumpra-se. Gabinete da Presidência da Câmara Municipal de Feita de"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","16","M2016_74837_13_22000_160000017776","2018-04-13","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"SIDNEY RONALDO RIBEIRO",0,"renuncia_a_comissao_especial","membros, abaixo especificados, da Comissão Especial constituída para auditar as contas da Previscam – Previdência dos Servidores Públicos Municipais de Campo Mourão, nos termos da Portaria nº 51/2018, alterada pela Portaria 59/2018, em razão da <<renúncia do Vereador>> Sidney Ronaldo Ribeiro. • Edoel Rocha; • Elvira Maria Schen Lima; • Miguel Batista Ribeiro; • Roberto Cruz Mendes. Art. 2º - Esta Portaria entra em vigor na data de sua publicação. Edson Battilani - Presidente PORTARIA"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","17","M2008_90670_13_15007_1928","2009-11-19","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"LUTERO PONCE DE ARRUDA",1,"NA","Extraordinária dos Vereadores, convocada em 13/11/2009, julgando previstas o art. 20, § 2o da Lei Orgânica do Município, art. 90, §§ Io, 2o, art.91, ITT e art. 94 do Regimento Interno da Câmara Municipal de Cuiabá, determinou a Perda de Mandato em face de <<Cassação>> do Vereador Lutero Ponce de Arruda. C O N SID ER A N D O que a conclusão da Comissão Processante foi pela P R O C E D Ê N C IA DA A CU SA ÇÃ O , com fulcro no inciso 1, do artigo 7o, do Decreto- Lei n° 201/67, cm v irtu d e de co n corrência"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","18","M2004_41238_11_13_82","2005-10-14","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"FERNANDO DAMATA PIMENTEL",0,"mencao_em_fala_a_pedido_futuro_de_cassacao_de_terceiro","Interno - RI. Solicitou à Líder do Governo, Vereadora Neusinha Santos, atenção quanto à competência para propor as mudanças na LPOUS. 3) VANDERLEI MIRANDA: ressaltou matéria veiculada na imprensa de que o Vereador Délio Malheiros iria solicitar a <<cassação>> do Prefeito Fernando Damata Pimentel. Anunciou que, em 19/9/05, filiou-se ao PMDB. 4) HENRIQUE BRAGA: falou sobre a realização, pela Igreja do Evangelho Quadrangular, do Grande Clamor a Deus, ocorrido na Praça Sete. Comentou que foi aprovado na"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","19","M2008_54011_13_40696_55180","2011-03-23","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"ANTONIO DOS REIS GONÇALVES LERIN",1,"NA","Francisco de Assis Barbosa, e, neste momento, convida para ocupar o lugar o Senhor José Antônio Fernandes Cardoso. TERMO DE POSSE: Aos 14 dias do mês de fevereiro de 2011, na sala da Presidência da Câmara Municipal de Uberaba, em face de pedido de <<renúncia>> ao mandato, requerido pelo Vereador Antônio dos Reis Gonçalves Lerin, por ter sido eleito Deputado Estadual nas eleições de outubro de 2010, compareceram o Presidente da Câmara Municipal de Uberaba, Luiz Humberto Dutra, e, na condição de suplente"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","20","M2016_72257_13_25000_250000016667","2019-11-01","alta","licenca","licenca","nome_completo_no_trecho",NA,"ALDEMAR VEIGA JUNIOR",1,"NA","Comissão de Justiça e Redação e a Comissão de Higiene e Saúde. DALVA DIAS DA SILVA BERTO, Presidente da Câmara Municipal de Va- linhos, no uso de suas atribuições legais, com base no art. 36 do Regimento Interno da Câmara, Considerando <<licença do vereador>> Aldemar Veiga Júnior pelo período de 25 de outubro a 24 de novembro de 2019; RESOLVE: Art. 1º. É designado, com base no art. 36 do Regimento Interno da Câmara, em substituição ao vereador licenciado Aldemar Veiga Júnior, o vereador Eder"
