legislatura,nome,n_datas,n_vocabulos,primeira,ultima
18,SOCORRO PIMENTEL TERESA LEITÃO,1,4,2016-02-18,2016-02-18
18,ADALTO SANTOS ALUÍSIO LESSA,1,4,2016-02-25,2016-02-25
18,AGLAILSON JÚNIOR ALUÍSIO LESSA,1,4,2016-03-16,2016-03-16
17,VicePresidente,1,1,2014-02-24,2014-02-24
18,OITENTA,2,1,2016-04-05,2017-04-05
18,ADALTO SANTOS AGLAILSON JÚNIOR,1,4,2016-04-06,2016-04-06
18,ISMAR CABRAL TEIXEIRA,1,3,2016-04-20,2016-04-20
18,SHEILA CARINA DE AQUINO CUNHA,1,4,2016-05-18,2016-05-18
18,SUPERINTENDENTE DE PLANEJAMENTO,1,2,2016-05-18,2016-05-18
18,GESTÃO,1,1,2016-05-18,2016-05-18
18,DEZESSEIS,1,1,2016-05-19,2016-05-19
18,IPOJUCA,1,1,2016-08-02,2016-08-02
18,DE LANÇAMENTO DO MESMO,1,2,2016-11-16,2016-11-16
18,Bispo Ossésio,1,2,2016-11-29,2016-11-29
18,VINÍCIUS LABANCAE ZÉ MAURÍCIO,1,3,2017-02-07,2017-02-07
18,DETERMINAALAVRATURADESTE TERMO,1,2,2017-02-09,2017-02-09
18,DO REGIMENTO INTERNO,1,2,2017-02-09,2017-02-09
18,OITOCENTOS,1,1,2017-03-06,2017-03-06
18,DEZESSETE,1,1,2017-03-06,2017-03-06
18,CRISTIANE VASCONCELOS,2,2,2017-03-21,2017-03-22
18,SUPERINTENDENTE ADMINISTRATIVA,2,2,2017-03-21,2017-03-22
18,ALBERTO FEITOSAE NILTON MOTA,1,4,2017-04-19,2017-04-19
18,DO MUNICÍPIO DE ARARIPINA,1,2,2017-04-24,2017-04-24
18,ALBERTO FEITOS,1,2,2017-05-16,2017-05-16
18,SERRA TALHADA,1,2,2017-05-17,2017-05-17
18,INOCÊNCIO OLIVEIRA,1,2,2017-05-22,2017-05-22
18,O DESEMBARGADOR FAUSTO FREITAS,1,3,2017-05-22,2017-05-22
18,O VEREADOR ALBERICO TIAGO,1,3,2017-05-22,2017-05-22
18,MATERNIDADE SANTA MARIA,1,3,2017-06-06,2017-06-06
18,DE ARARIPINA,1,1,2017-06-06,2017-06-06
18,O MESTRE-DE-CERIMÔNIAS SILAS COSTA,1,4,2017-06-29,2017-06-29
18,PRESIDINDO-A,1,1,2017-06-29,2017-06-29
18,DESEMBARGADOR LEOPOLDO DE ARRUDA RAPOSO,2,4,2017-06-29,2017-12-11
18,CONSELHEIRO CARLOS PORTO,1,3,2017-06-29,2017-06-29
18,RAUL JEAN LOUIS HENRY JÚNIOR,2,5,2017-06-29,2017-11-29
18,GERALDO JÚLIO,1,2,2017-06-29,2017-06-29
18,PAULO HENRIQUE SARAIVA CÂMARA,1,4,2017-06-29,2017-06-29
18,DE OPOSIÇÃO,2,1,2017-08-15,2018-03-13
18,Atas Convoco,1,2,2017-08-16,2017-08-16
18,Doutor Flávio Vormittag,1,3,2017-08-07,2017-08-07
18,Coordenador-Geral de Sangue,1,3,2017-08-07,2017-08-07
18,Doutor Messias Alves Trindade,1,4,2017-08-07,2017-08-07
18,Doutor Oswaldo Castilho,1,3,2017-08-07,2017-08-07
18,Doutora Yeda Maia,1,3,2017-08-07,2017-08-07
18,Doutor Alexandre de Mattos,1,3,2017-08-07,2017-08-07
18,Doutor Marinus Marsico,1,3,2017-08-07,2017-08-07
18,COMPOSITOR ALMIR ROUCHE,1,3,2017-09-05,2017-09-05
18,DE AUTORIA DE FELIPE HAECKEL,1,3,2017-09-21,2017-09-21
18,DA UFPE,1,1,2017-10-16,2017-10-16
