ano_eleicao,legislatura,nome,nome_completo,data_nascimento,condicao,forma_saida
2018,19,Reinaldo Braga,REINALDO TEIXEIRA BRAGA,1940-05-16,suplente,afastamento
2018,19,Targino Machado,TARGINO MACHADO PEDREIRA FILHO,1952-09-04,titular,cassacao
2018,19,Tom é Meu Amigo,EWERTON CARNEIRO DA COSTA,1975-01-06,titular,cassacao
2018,19,Valda ACS,MARIVALDA SANTOS PEREIRA DE ARAUJO,1969-08-20,suplente,afastamento
2022,20,Fabíola Mansur,FABIOLA MANSUR DE CARVALHO,1962-10-22,suplente,outro
2022,20,Jusmari Oliveira,JUSMARI TEREZINHA DE SOUZA OLIVEIRA,1963-03-02,suplente,
2022,20,Luciano Ribeiro,JOSE LUCIANO SANTOS RIBEIRO,1960-12-22,suplente,falecimento
2022,20,Lucinha do MST,VERA LUCIA DA CRUZ BARBOSA,1972-07-28,nao_informado,nao_observado
2022,20,Marcelino Galo,MARCELINO ANTONIO MARTINS GALO,1956-03-04,suplente,outro
2022,20,Marcone Amaral,MARCONE AMARAL COSTA JUNIOR,1978-04-05,nao_informado,nao_observado
2022,20,Neusa Cadore,NEUSA CADORE,1955-02-09,suplente,licenca
2022,20,Paulo Câmara,PAULO SERGIO DE SA BITTENCOURT CAMARA,1972-11-07,nao_informado,
2022,20,Radiovaldo Costa,RADIOVALDO COSTA SANTOS,1966-03-19,nao_informado,nao_observado
