ano_eleicao,nome,condicao,forma_saida,data_inicio_exercicio,data_fim_exercicio,id_mandato_bocel,metodo_pareamento,id_fonte
2018,Dr. Batista,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_33014_160000622349,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Élio Lino Rusch,titular,fim_regular,2019-04-15,2023-01-31,M2018_PR_7_25155_160000623287,nome_parlamentar_x_urna,2019-04-22_9652.pdf
2018,Emerson Bacil,suplente,suplente_efetivado,2019-02-11,2021-10-25,,,2019-02-11_9485.pdf
2018,Evandro Araújo,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_20120_160000619813,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Francisco Bührer,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_55123_160000619856,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Galo,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_19222_160000622047,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Gilberto Ribeiro,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_11590_160000623297,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Gilson de Souza,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_20044_160000619816,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Goura,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_12108_160000619755,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Gugu Bueno,suplente,suplente_efetivado,2020-07-17,2022-03-28,,,2020-07-17_10964.pdf
2018,Guto Silva,titular,fim_regular,2022-01-24,2023-01-31,M2018_PR_7_55222_160000619860,nome_parlamentar_x_urna,2022-01-24_12432.pdf
2018,Homero Marchese,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_90789_160000622315,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Hussein Bakri,suplente,suplente_efetivado,2019-02-11,2022-03-28,,,2019-02-11_9485.pdf
2018,Jonas Guimarães,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_40250_160000623302,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Luciana Rafagnin,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_13233_160000623052,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Luiz Carlos Martins,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_11550_160000623300,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Luiz Claudio Romanelli,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_40678_160000623315,nome_parlamentar_x_nome_bocel,2019-02-11_9485.pdf
2018,Luiz Fernando Guerra,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_17017_160000626049,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Mabel Canto,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_20100_160000619819,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Marcel Micheletto,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_22000_160000619648,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Marcio Nunes,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_55250_160000619862,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Marcio Pacheco,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_54100_160000610029,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Maria Victória,titular,licenca,2019-02-01,2022-09-05,M2018_PR_7_11511_160000623303,nome_parlamentar_x_urna,2022-09-05_13122_1468508.html
2018,Mauro Moraes,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_55655_160000619863,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Michele Caputo,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_45000_160000623348,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Natan Speraﬁ co,suplente,suplente_efetivado,2022-10-03,2023-01-31,,,2022-10-03_13201.pdf
2018,Nelson Justus,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_25111_160000623290,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Nelson Luersen,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_12680_160000619751,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Nereu Moura,titular,fim_regular,2021-11-08,2023-01-31,M2018_PR_7_15178_160000612502,nome_parlamentar_x_urna,2021-11-16_12277.pdf
2018,Paulo Litro,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_45160_160000623349,nome_parlamentar_x_urna,2019-02-11_9485.pdf
