legislatura,nome,nome_completo,condicao,data_inicio_exercicio,data_fim_exercicio,forma_saida,causa_original
19,Marcell dos Animais,MARCELL CARVALHO DE MORAES,titular,,2020-11-09,cassacao,"Teve a perda de mandato declarada pelo TSE em 09/11/2020, com a convocação do Deputado Tiago Brandão Correia (PSDB)."
19,Nelson Leal,NELSON SOUZA LEAL,titular,,2021-05-17,afastamento,"Assumiu interinamente o governo do Estado da Bahia, no período de 12/05/2019 a 16/05/2019. Pediu afastamento do exercício do mandato entre 17/05/2021 e 15/03/2022, para assumir o cargo de Secretário Estadual de Desenvolvimento Econômico."
19,Reinaldo Braga,REINALDO TEIXEIRA BRAGA,suplente,2021-11-18,,afastamento,"assumiu o mandato parlamentar entre 18/11/2021 e 15/03/2022 em decorrência do afastamento do Deputado Nelson Leal, nomeado Secretário Estadual de Desenvolvimento Econômico."
19,Targino Machado,TARGINO MACHADO PEDREIRA FILHO,titular,,2020-10-28,cassacao,Teve a perda de mandato declarada pelo TSE em 28/10/2020 com a convocação do Deputado Ângelo Mário Cerqueira de Almeida (PSB) em 06/11/2020.
19,Tiago Correia,TIAGO BRANDAO CORREIA,titular,,,cassacao,"assumiu o cargo de deputado estadual no dia 08/02/2019, após a licença do deputado Leo Prates. Efetivou-se em 25/11/2020, em substituição ao Dep. Marcell dos Animais (PSDB), que teve perda de mandato declarada pelo TSE."
19,Tom é Meu Amigo,EWERTON CARNEIRO DA COSTA,titular,,2020-10-28,cassacao,"Teve a perda de mandato declarada pelo TSE em 28/10/2020, com a convocação do Deputado Josafá Marinho de Aguiar (Patriota)."
19,Tum,WALLISON OLIVEIRA TORRES,titular,,2023-01-03,licenca,"Licenciou-se do cargo para assumir a Secretaria de Agricultura, Pecuária, Pesca e Aquicultura (Seagri) em 03/01/2023."
19,Valda ACS,MARIVALDA SANTOS PEREIRA DE ARAUJO,suplente,2023-01-05,,afastamento,"assumiu o mandato parlamentar em 05/01/2023, em função do afastamento do deputado Tum."
19,Zé Cocá,ZENILDO BRANDAO SANTANA,titular,,2020-12-31,renuncia,"renunciou o mandato em 31/12/2020, para assumir a prefeitura de Jequié em 01/01/2021 ("
20,Angelo Almeida,ANGELO MARIO CERQUEIRA DE ALMEIDA,titular,,2023-01-03,licenca,Licenciou-se do cargo para assumir a Secretaria de Desenvolvimento Econômico do Estado da Bahia (SDE-BA) em03/01/2023.Licen-ciou-se do mandato parlamentar entre 03/01/2023 e 06/04/2026.
20,Eures Ribeiro,EURES RIBEIRO PEREIRA,titular,,2024-12-27,renuncia,"renunciou ao mandato parlamentar em 27/12/2024, para assumir o mandato de prefeito de Bom Jesus da Lapa, a partir de 01º/01/2025."
20,Fabíola Mansur,FABIOLA MANSUR DE CARVALHO,suplente,2023-02-10,2026-04-06,outro,"assumiu o mandato parlamentar entre 10/02/2023 e 06/04/2026 , em substituição ao deputado Ângelo Almeida."
20,Luciano Ribeiro,JOSE LUCIANO SANTOS RIBEIRO,suplente,2026-01-22,,falecimento,"assumiu o mandato parlamentar em 22/01/2026, em função do falecimento do Deputado Alan Sanches."
20,Marcelino Galo,MARCELINO ANTONIO MARTINS GALO,suplente,2024-03-11,2026-04-06,outro,assumiu o mandato parlamentar entre 11/03/2024 e 06/04/2026.
20,Maria del Carmen,MARIA DEL CARMEN FIDALGO SANCHEZ PUGA,titular,,2024-07-31,licenca,Licenciou-se do mandato parlamentar entre 31/07/2024 e 15/10/2024.
20,Neusa Cadore,NEUSA CADORE,suplente,2024-07-25,2024-07-25,licenca,assumiu o mandato parlamentar em 03/03/2023. Efetivou-se em 08/03/2024. Licenciou-se do cargo para assumir a Secretaria de Políticas para as Mulheres (SPM) em 25/07/2024.Licenciou-se do mandato parlamentar entre 25/07/2024 e 06/04/2026.
20,Osni Cardoso,OSNI CARDOSO DE ARAUJO,titular,,2023-01-03,licenca,Licenciou-se do cargo para assumir a Secretaria de Desenvolvimento Rural (SDR) em 03/01/2023.Licenciou-se do mandato parlamentar entre 03/01/2023 e 06/04/2026.
