"tabela","id_mandato","sg_uf","ano_eleicao","cargo","nome","forma","url_1","tipo_1","url_2","tipo_2","tipo_declarado","tem_oficial","tem_noticia_oficial","so_imprensa_ou_referencia","melhor_tipo"
"eventos_presidencia_fonte_oficial.csv","M2022_BR_1_13_280001607829","BR","2022","PRESIDENTE","LUIZ INÁCIO LULA DA SILVA","em_curso","https://www12.senado.leg.br/noticias/materias/2023/01/01/congresso-empossa-lula-e-alckmin-na-presidencia-da-republica","noticia_oficial","",NA,NA,FALSE,TRUE,FALSE,"noticia_oficial"
"eventos_presidencia_fonte_oficial.csv","M2022_BR_2_13_280001607830","BR","2022","VICE-PRESIDENTE","GERALDO JOSÉ RODRIGUES ALCKMIN FILHO","em_curso","https://www12.senado.leg.br/noticias/materias/2023/01/01/congresso-empossa-lula-e-alckmin-na-presidencia-da-republica","noticia_oficial","",NA,NA,FALSE,TRUE,FALSE,"noticia_oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_11123_700000708111231","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Adão (Carlos) Xavier","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_11123_700000708111231","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Adão (Carlos) Xavier","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15115_700000708151151","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Edimar Pireneus","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15123_700000708151231","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Daniel Marques","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15123_700000708151231","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Daniel Marques","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15123_700000708151231","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Daniel Marques","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15123_700000708151231","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Daniel Marques","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15123_700000708151231","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Daniel Marques","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15133_700000708151331","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Odilon Aires","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15133_700000708151331","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Odilon Aires","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15689_700000708156891","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Eurides Brito","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_15689_700000708156891","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Eurides Brito","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_22111_700000708221111","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Renato Rainha","renuncia","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_22221_700000708222211","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Agrício Braga","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_22221_700000708222211","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Agrício Braga","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_25138_700000708251381","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Aguinaldo de Jesus","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_25138_700000708251381","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Aguinaldo de Jesus","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_45199_700000708451991","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Anilcéia Machado","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M1998_DF_8_45199_700000708451991","DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Anilcéia Machado","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
