legislatura,sq_candidato,eid,ano_eleicao,biografia_de,secao_biografia,sujeito,sujeito_civil,secao_sujeito,papel,suplente_citado,forma,data_do_pleito_apenas,licenca_temporaria,data_evento,ano_evento,frase,url,id_fonte,sujeito_n,sujeito_s,civil_n,civil_s,ano_eleicao_leg,metodo_ato,data_ato,sessoes_depois_do_ato,sessoes_depois_do_ano,retornou
28,60000000299,12,2010,EDUARDO FLORENTINO RIBEIRO,suplente,FRANCISCO ELY AGUIAR ALVES,FRANCISCO ELY AGUIAR ALVES,titular,titular_citado_na_vaga,,licenca,0,1,,2013,"Em outubro de 2013, assumiu o mandato na vaga do deputado Ely Aguiar (PSDC), licenciado por um período de 120 dias para tratar de interesse particular.",https://www.al.ce.gov.br/edicoes-inesp/download/913,malce_leg28_p174,FRANCISCO ELY AGUIAR ALVES,FRANCISCO ELY AGUIAR ALVES,FRANCISCO ELY AGUIAR ALVES,FRANCISCO ELY AGUIAR ALVES,2010,ato_civil_exato,,0,73,TRUE
28,,13,2010,JOÃO BATISTA GOMES DA SILVA,suplente,JÚLIO CÉSAR COSTA LIMA FILHO,JÚLIO CÉSAR COSTA LIMA FILHO,titular,titular_citado_na_vaga,,licenca,0,1,2014-06-03,2014,"Em 03 de junho de 2014, assumiu o mandato de deputado estadual, por 120 dias, na vaga do deputado Júlio César Filho, que licenciou-se para interesse particular.",https://www.al.ce.gov.br/edicoes-inesp/download/913,malce_leg28_p188,JULIO CESAR COSTA LIMA FILHO,JULIO CESAR COSTA LIMA FILHO,JULIO CESAR COSTA LIMA FILHO,JULIO CESAR COSTA LIMA FILHO,2010,,2014-06-03,0,0,FALSE
28,60000000132,11,2010,MOÉSIO LOIOLA DE MELO,titular,MOÉSIO LOIOLA DE MELO,MOÉSIO LOIOLA DE MELO,titular,dono_da_biografia,,renuncia,0,0,2012-12-28,2012,"Em 28 de dezembro de 2012, renunciou ao mandato de deputado estadual por ter sido eleito prefeito de Campos Sales, em outubro desse ano, pelo Partido Social Democrático (PSD), com 7.037 votos.",https://www.al.ce.gov.br/edicoes-inesp/download/913,malce_leg28_p129,MOESIO LOIOLA DE MELO,MOESIO LOIOLA DE MELO,MOESIO LOIOLA DE MELO,MOESIO LOIOLA DE MELO,2010,ato_civil_exato,2012-12-28,0,0,FALSE
29,60000000752,15,2014,(PROFESSOR) JOSÉ TEODORO SOARES,suplente,(PROFESSOR) JOSÉ TEODORO SOARES,(PROFESSOR) JOSÉ TEODORO SOARES,suplente,dono_da_biografia,,falecimento,0,0,2016-08-18,2016,"Faleceu no exercício do mandato, em Fortaleza, a 18 de agosto de 2016, sendo sepultado em sua cidade natal.",https://www.al.ce.gov.br/edicoes-inesp/download/72,malce_leg29_p157,PROFESSOR JOSE TEODORO SOARES,JOSE TEODORO SOARES,PROFESSOR JOSE TEODORO SOARES,JOSE TEODORO SOARES,2014,ato_civil_sem_tratamento,2016-08-18,0,0,FALSE
29,60000000749,14,2014,JOSÉ WELINGTON LANDIM,titular,JOSÉ WELINGTON LANDIM,JOSÉ WELINGTON LANDIM,titular,dono_da_biografia,,falecimento,0,0,2015-06-09,2015,"Faleceu, em 9 de junho de 2015, aos 59 anos, ao curso do mandato, em consequência de uma meningite bacteriana.",https://www.al.ce.gov.br/edicoes-inesp/download/72,malce_leg29_p97,JOSE WELINGTON LANDIM,JOSE WELINGTON LANDIM,JOSE WELINGTON LANDIM,JOSE WELINGTON LANDIM,2014,ato_civil_exato,2015-06-09,0,0,FALSE
30,60000612035,18,2018,ACRÍSIO SENA,titular,ACRÍSIO SENA,JOSÉ ACRÍSIO DE SENA,titular,dono_da_biografia,George Lima assumiu a titularidade do mandato,licenca,0,1,,2021,"Em 2021, o parlamentar licenciou-se do cargo por um período de quatro meses, o suplente George Lima assumiu a titularidade do mandato.",https://www.al.ce.gov.br/edicoes-inesp/download/73,malce_leg30_p96,ACRISIO SENA,ACRISIO SENA,JOSE ACRISIO DE SENA,JOSE ACRISIO DE SENA,2018,ato_civil_exato,,0,87,TRUE
30,60000605081,17,2018,DANNIEL OLIVEIRA,titular,DANNIEL OLIVEIRA,DANNIEL LOPES DE OLIVEIRA SOUSA,titular,dono_da_biografia,GELSON FERRAZ,licenca,0,1,,2021,"Em maio de 2021, o parlamentar licenciou-se do cargo por quatro meses, assumindo a titularidade o suplente Gelson Ferraz.",https://www.al.ce.gov.br/edicoes-inesp/download/73,malce_leg30_p56,DANNIEL OLIVEIRA,DANNIEL OLIVEIRA,DANNIEL LOPES DE OLIVEIRA SOUSA,DANNIEL LOPES DE OLIVEIRA SOUSA,2018,ato_civil_exato,,0,33,TRUE
30,60000612561,19,2018,MARCOS SOBREIRA,titular,MARCOS SOBREIRA,MARCOS MARCEL RODRIGUES SOBREIRA,titular,dono_da_biografia,FERREIRA ARAGÃO,licenca,0,1,,2021,"Em abril de 2021, o parlamentar licenciou-se por quatro meses para tratar de assuntos particulares, ficando na titularidade nesse período o suplente Ferreira Aragão.",https://www.al.ce.gov.br/edicoes-inesp/download/73,malce_leg30_p120,MARCOS SOBREIRA,MARCOS SOBREIRA,MARCOS MARCEL RODRIGUES SOBREIRA,MARCOS MARCEL RODRIGUES SOBREIRA,2018,ato_civil_exato,,0,103,TRUE
30,60000611115,16,2018,NIZO COSTA,titular,NIZO COSTA,ANTÔNIO VALDENIZO DA COSTA,titular,dono_da_biografia,Fábio Galvão assumiu o mandato nesse período,licenca,0,1,,2021,"O deputado licenciou-se do cargo em outubro de 2021, o suplente Fábio Galvão assumiu o mandato nesse período.",https://www.al.ce.gov.br/edicoes-inesp/download/73,malce_leg30_p41,NIZO COSTA,NIZO COSTA,ANTONIO VALDENIZO DA COSTA,ANTONIO VALDENIZO DA COSTA,2018,ato_civil_exato,,0,72,TRUE
30,60000605067,20,2018,PATRÍCIA AGUIAR,titular,PATRÍCIA AGUIAR,PATRÍCIA PEQUENO COSTA GOMES DE AGUIAR,titular,dono_da_biografia,,renuncia,1,0,,2020,"Em 15 de novembro de 2020, foi eleita prefeita de Tauá para o quarto mandato à frente do município com 52% dos votos, renunciando ao mandato de deputada estadual.",https://www.al.ce.gov.br/edicoes-inesp/download/73,malce_leg30_p130,PATRICIA AGUIAR,PATRICIA AGUIAR,PATRICIA PEQUENO COSTA GOMES DE AGUIAR,PATRICIA PEQUENO COSTA GOMES DE AGUIAR,2018,ato_civil_exato,,0,0,FALSE
