id_mandato,cargo,sg_uf,ano_eleicao,id_pessoa,forma_atual,fonte_atual,data_fim_atual,cargo_incompativel,posse_incompativel
M2002_AL_7_12000_186,DEPUTADO ESTADUAL,AL,2002,BOCEL0031347,fim_regular,assembleia_api,2007-01-31,PREFEITO,2005-01-01
M2002_BA_7_45123_1394,DEPUTADO ESTADUAL,BA,2002,BOCEL0099758,fim_regular,assembleia_portal,2007-01-31,VICE-PREFEITO,2005-01-01
M2010_BA_7_44111_50000000474,DEPUTADO ESTADUAL,BA,2010,BOCEL0130148,fim_regular,assembleia_portal,,PREFEITO,2013-01-01
M2012_36692_13_65123_50000035144,VEREADOR,BA,2012,BOCEL0144002,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2014_BA_7_44044_50000000432,DEPUTADO ESTADUAL,BA,2014,BOCEL0154641,fim_regular,assembleia_portal,2019-01-31,PREFEITO,2017-01-01
M2000_13897_13_12350_696,VEREADOR,CE,2000,BOCEL0008258,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2000_13897_13_13121_719,VEREADOR,CE,2000,BOCEL0117600,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2000_13897_13_13654_711,VEREADOR,CE,2000,BOCEL0075752,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2000_13897_13_22125_876,VEREADOR,CE,2000,BOCEL0115744,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2000_13897_13_31234_1124,VEREADOR,CE,2000,BOCEL0009405,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2004_13897_13_12190_587,VEREADOR,CE,2004,BOCEL0001169,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2004_13897_13_45618_826,VEREADOR,CE,2004,BOCEL0097077,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2008_13897_13_33133_9762,VEREADOR,CE,2008,BOCEL0002489,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2008_13897_13_40100_7484,VEREADOR,CE,2008,BOCEL0006528,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2008_13897_13_70234_6935,VEREADOR,CE,2008,BOCEL0004198,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2012_13897_13_15190_60000009453,VEREADOR,CE,2012,BOCEL0163266,fim_regular,sapl_municipal,2016-12-31,DEPUTADO FEDERAL,2015-02-01
M2012_13897_13_15640_60000009454,VEREADOR,CE,2012,BOCEL0096991,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2020_13897_13_20100_60000685600,VEREADOR,CE,2020,BOCEL0181289,fim_regular,sapl_municipal,2024-12-31,DEPUTADO FEDERAL,2023-02-01
M2012_56235_13_45500_80000003636,VEREADOR,ES,2012,BOCEL0060903,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2004_94455_13_14333_38,VEREADOR,GO,2004,BOCEL0122276,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2008_92215_13_20123_2639,VEREADOR,GO,2008,BOCEL0129290,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2014_GO_7_44190_90000000101,DEPUTADO ESTADUAL,GO,2014,BOCEL0002739,fim_regular,fonte_oficial_curada,2019-01-31,VICE-PREFEITO,2017-01-01
M2016_92215_13_13123_90000002499,VEREADOR,GO,2016,BOCEL0052137,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2016_92215_13_77200_90000012914,VEREADOR,GO,2016,BOCEL0168637,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2014_MA_7_15789_100000000681,DEPUTADO ESTADUAL,MA,2014,BOCEL0095004,fim_regular,assembleia_portal,2019-01-31,PREFEITO,2017-01-01
M1998_MG_6_1510_130001306015101,DEPUTADO FEDERAL,MG,1998,BOCEL0133777,fim_regular,camara_biografia,2003-01-31,PREFEITO,2001-01-01
M2004_48658_13_25225_79,VEREADOR,MG,2004,BOCEL0063707,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2008_53430_13_33444_32757,VEREADOR,MG,2008,BOCEL0147771,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2012_53430_13_20800_130000086126,VEREADOR,MG,2012,BOCEL0245651,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2010_MT_7_22666_110000000109,DEPUTADO ESTADUAL,MT,2010,BOCEL0027575,fim_regular,fonte_oficial_curada,2015-01-31,VICE-PREFEITO,2013-01-01
M2004_05355_13_13123_110,VEREADOR,PA,2004,BOCEL0133512,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2020_05835_13_12500_140000926789,VEREADOR,PA,2020,BOCEL0127456,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2000_20516_13_40444_395,VEREADOR,PB,2000,BOCEL0108562,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2000_21253_11_45_103,PREFEITO,PB,2000,BOCEL0039188,fim_regular,wikipedia,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2002_PB_7_13666_78,DEPUTADO ESTADUAL,PB,2002,BOCEL0055932,fim_regular,assembleia_api,2007-01-31,PREFEITO,2005-01-01
M2002_PB_7_15111_279,DEPUTADO ESTADUAL,PB,2002,BOCEL0039188,fim_regular,assembleia_api,2007-01-31,VICE-PREFEITO,2005-01-01
M2008_20516_13_13660_3761,VEREADOR,PB,2008,BOCEL0049797,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2008_20516_13_40789_3874,VEREADOR,PB,2008,BOCEL0001096,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2010_PB_7_13660_150000000271,DEPUTADO ESTADUAL,PB,2010,BOCEL0049797,fim_regular,assembleia_api,2015-01-31,PREFEITO,2013-01-01
M2010_PB_7_15221_150000000360,DEPUTADO ESTADUAL,PB,2010,BOCEL0052812,fim_regular,assembleia_api,2015-01-31,PREFEITO,2013-01-01
M2010_PB_7_15789_150000000354,DEPUTADO ESTADUAL,PB,2010,BOCEL0093492,fim_regular,assembleia_api,2015-01-31,PREFEITO,2013-01-01
M2016_20516_13_28222_150000004389,VEREADOR,PB,2016,BOCEL0130488,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2020_20516_13_70222_150000737279,VEREADOR,PB,2020,BOCEL0101516,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M1998_PE_6_1717_170001706017171,DEPUTADO FEDERAL,PE,1998,BOCEL0026161,fim_regular,camara_biografia,2003-01-31,VICE-PREFEITO,2001-01-01
M2002_PE_7_25232_264,DEPUTADO ESTADUAL,PE,2002,BOCEL0115604,fim_regular,assembleia_portal,2007-01-31,VICE-PREFEITO,2005-01-01
M2014_PE_7_12000_170000000700,DEPUTADO ESTADUAL,PE,2014,BOCEL0188997,fim_regular,assembleia_portal,2019-01-31,VICE-PREFEITO,2017-01-01
M2002_PI_7_25107_311,DEPUTADO ESTADUAL,PI,2002,BOCEL0020229,fim_regular,assembleia_api,2006-12-31,PREFEITO,2005-01-01
M1998_PR_7_25190_160001607251901,DEPUTADO ESTADUAL,PR,1998,BOCEL0152150,fim_regular,assembleia_portal,2003-01-31,VICE-PREFEITO,2001-01-01
M2006_PR_7_11789_10454,DEPUTADO ESTADUAL,PR,2006,BOCEL0058527,fim_regular,assembleia_portal,2011-01-31,PREFEITO,2009-01-01
M2004_58670_13_45625_219,VEREADOR,RJ,2004,BOCEL0174414,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2012_58041_13_31456_190000023371,VEREADOR,RJ,2012,BOCEL0229565,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2012_58670_13_40180_190000005933,VEREADOR,RJ,2012,BOCEL0231800,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2014_RJ_7_17456_190000000169,DEPUTADO ESTADUAL,RJ,2014,BOCEL0229565,fim_regular,assembleia_portal,2019-01-31,VICE-PREFEITO,2017-01-01
M2016_58475_13_23000_190000016265,VEREADOR,RJ,2016,BOCEL0219214,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2018_RJ_6_2500_190000607415,DEPUTADO FEDERAL,RJ,2018,BOCEL0226276,fim_regular,camara_api,2023-01-31,VICE-PREFEITO,2021-01-01
M2018_RJ_7_31615_190000606186,DEPUTADO ESTADUAL,RJ,2018,BOCEL0209340,fim_regular,assembleia_portal,2023-01-31,VICE-PREFEITO,2021-01-01
M2020_58777_13_50700_190001076772,VEREADOR,RJ,2020,BOCEL0242176,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2020_59013_13_14123_190000648786,VEREADOR,RJ,2020,BOCEL0185638,fim_regular,sapl_municipal,2024-12-31,DEPUTADO FEDERAL,2023-02-01
M2020_59250_13_40100_190000985500,VEREADOR,RJ,2020,BOCEL0212248,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2012_17795_13_70123_200000008801,VEREADOR,RN,2012,BOCEL0083877,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2016_17612_13_13123_200000011299,VEREADOR,RN,2016,BOCEL0105991,fim_regular,sapl_municipal,2020-12-31,DEPUTADO FEDERAL,2019-02-01
M2016_17612_13_15222_200000011654,VEREADOR,RN,2016,BOCEL0043370,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2016_17612_13_77666_200000011591,VEREADOR,RN,2016,BOCEL0080626,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2010_RO_7_40140_220000000140,DEPUTADO ESTADUAL,RO,2010,BOCEL0003151,fim_regular,assembleia_api,2015-01-31,PREFEITO,2013-01-01
M2014_RO_7_27456_220000000288,DEPUTADO ESTADUAL,RO,2014,BOCEL0021387,fim_regular,assembleia_api,2019-01-31,PREFEITO,2017-01-01
M2016_00035_13_14500_220000001503,VEREADOR,RO,2016,BOCEL0046285,fim_regular,sapl_municipal,,DEPUTADO ESTADUAL,2019-02-01
M2016_00051_13_12000_220000004581,VEREADOR,RO,2016,BOCEL0063889,fim_regular,sapl_municipal,2020-12-31,DEPUTADO FEDERAL,2019-02-01
M2020_00051_13_25800_220001241964,VEREADOR,RO,2020,BOCEL0064139,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2012_03018_13_15777_230000000113,VEREADOR,RR,2012,BOCEL0009707,fim_regular,sapl_municipal,2016-12-31,DEPUTADO ESTADUAL,2015-02-01
M2012_03018_13_40222_230000001188,VEREADOR,RR,2012,BOCEL0005265,fim_regular,sapl_municipal,2016-12-31,DEPUTADO FEDERAL,2015-02-01
M1998_RS_6_1345_210002106013451,DEPUTADO FEDERAL,RS,1998,BOCEL0077933,fim_regular,camara_biografia,2003-01-31,PREFEITO,2001-01-01
M2008_87912_13_13613_22093,VEREADOR,RS,2008,BOCEL0041873,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2014_RS_7_15444_210000000161,DEPUTADO ESTADUAL,RS,2014,BOCEL0180741,fim_regular,assembleia_portal,2019-01-31,VEREADOR,2017-01-01
M2016_87912_13_45045_210000031870,VEREADOR,RS,2016,BOCEL0219499,fim_regular,sapl_municipal,2020-12-31,DEPUTADO FEDERAL,2019-02-01
M2016_87912_13_45555_210000031876,VEREADOR,RS,2016,BOCEL0041867,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2016_89516_13_25555_210000031654,VEREADOR,RS,2016,BOCEL0229512,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2018_RS_7_15444_210000605346,DEPUTADO ESTADUAL,RS,2018,BOCEL0180741,fim_regular,assembleia_portal,2023-01-31,VEREADOR,2021-01-01
M2008_31690_13_43123_1748,VEREADOR,SE,2008,BOCEL0081364,fim_regular,sapl_municipal,2012-12-31,DEPUTADO ESTADUAL,2011-02-01
M2016_31690_13_36123_260000002427,VEREADOR,SE,2016,BOCEL0081403,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2000_62910_13_13644_166,VEREADOR,SP,2000,BOCEL0231393,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2000_62910_13_45678_400,VEREADOR,SP,2000,BOCEL0231463,fim_regular,sapl_municipal,2004-12-31,DEPUTADO ESTADUAL,2003-02-01
M2004_71218_13_40660_31,VEREADOR,SP,2004,BOCEL0244793,fim_regular,sapl_municipal,2008-12-31,DEPUTADO ESTADUAL,2007-02-01
M2020_61638_13_13016_250000764670,VEREADOR,SP,2020,BOCEL0267118,fim_regular,portal_camara,,DEPUTADO ESTADUAL,2023-02-01
M1998_TO_4_251_270002704002511,VICE-GOVERNADOR,TO,1998,BOCEL0070896,fim_regular,wikipedia,2002-12-31,PREFEITO,2001-01-01
M2010_TO_7_23200_270000000057,DEPUTADO ESTADUAL,TO,2010,BOCEL0127446,fim_regular,fonte_oficial_curada,2015-01-31,VICE-PREFEITO,2013-01-01
M2016_73440_13_17123_270000008915,VEREADOR,TO,2016,BOCEL0135216,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2016_73440_13_54700_270000009254,VEREADOR,TO,2016,BOCEL0065770,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2016_73440_13_77100_270000008757,VEREADOR,TO,2016,BOCEL0147637,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2016_73440_13_90090_270000008831,VEREADOR,TO,2016,BOCEL0127809,fim_regular,sapl_municipal,2020-12-31,DEPUTADO ESTADUAL,2019-02-01
M2020_73440_13_12777_270000877822,VEREADOR,TO,2020,BOCEL0136588,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2020_73440_13_19800_270000999615,VEREADOR,TO,2020,BOCEL0141329,fim_regular,sapl_municipal,2024-12-31,DEPUTADO ESTADUAL,2023-02-01
M2020_73440_13_45123_270000880858,VEREADOR,TO,2020,BOCEL0141067,fim_regular,sapl_municipal,2024-12-31,DEPUTADO FEDERAL,2023-02-01
