"idx","amostra","na_amostra_40","id_mandato_bocel","id_municipio_ibge","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","url_diario","trecho"
21,"30_alta",FALSE,"M2024_58335_13_11222_190001940076","3301702","2025-01-29","alta","afastamento","afastamento","nome_completo_no_trecho",NA,"GIORGIO CARVALHO MONTEIRO","https://data.queridodiario.ok.org.br/3301702/2025-01-29/d8f26cb1a95635207ff35ae9ae70cf5a1ac6f32d.pdf","dia quinze de janeiro de dois mil e vinte e cinco, às catorze horas, reuniu-se a Câmara Municipal de Duque de Caxias, no Plenário Vilson Campos Macedo, onde compareceu o Excelentíssimo Senhor Sérgio de Souza Costa, que, por ser o Primeiro <<Suplente de Vereador>> pelo Partido Progressistas (PP), foi convocado pela Mesa Diretora / Mesa Executiva para tomar posse como Vereador em face do afastamento do Excelentíssimo Vereador Giorgio Carvalho Monteiro (Giorgio Monteiro), do PP, que assumiu o cargo"
22,"30_alta",FALSE,"M2020_70718_13_40660_250000929669","3548500","2024-06-24","alta","licenca","licenca","nome_completo_no_trecho",NA,"BENEDITO FURTADO DE ANDRADE","https://data.queridodiario.ok.org.br/3548500/2024-06-24/57f31f5eb10de139927e24dc406ca9b5465398a7.pdf","(Requerimento C.E.V. nº 04/2024 – Processo nº 4.397/2024). JEAN RODRIGUES TEIXEIRA SECRETÁRIO LEGISLATIVO A Mesa Diretora, na 23ª Sessão Ordinária, reali- zada em 25 de abril de 2024, promulga o seguinte: RESOLUÇÃO Nº 11 21 DE JUNHO DE 2024 <<LICENÇA DO VEREADOR>> BENEDITO FURTADO DE ANDRADE, E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida a licença para tratar de assuntos de interesse particular, no período de 25/04/2024 a 26/04/2024 ao Vereador Benedito Furtado de Andrade, na forma do inciso III"
23,"30_alta",FALSE,"M2016_90670_11_15_110000007470","5103403","2017-08-21","alta","licenca","licenca","nome_completo_no_trecho",NA,"EMANUEL PINHEIRO","https://data.queridodiario.ok.org.br/5103403/2017-08-21/afddd5bf9fbcee6e3a6e4fc83e4a1cddbe92ddd9.pdf"," sessão solene no Plenário das Deliberações da Câmara Municipal de Cuiabá, compareceu o Senhor Niuan Ribeiro Roberto, Vice-Prefeito do município de Cuiabá, para assumir o cargo de Prefeito Municipal de Cuiabá, tendo em vista a <<licença do Prefeito>> Municipal Excelentíssimo Senhor Emanuel Pinheiro nos termos do Art. 39 da Lei Orgânica do Município. O Presidente da Câmara Municipal de Cuiabá no uso da palavra saudou os presentes e convidou o empossado a se aproximar, fazer a entrega"
24,"30_alta",FALSE,"M2024_58335_13_15123_190002000014","3301702","2025-01-29","alta","afastamento","afastamento","nome_completo_no_trecho",NA,"SERGIO ALBERTO CORREA DA ROCHA","https://data.queridodiario.ok.org.br/3301702/2025-01-29/d8f26cb1a95635207ff35ae9ae70cf5a1ac6f32d.pdf","quinze de janeiro de dois mil e vinte e cinco, às catorze horas, reuniu-se a Câmara Municipal de Duque de Caxias, no Plenário Vilson Campos Macedo, onde compareceu o Excelentíssimo Senhor Eduardo Anderson Goes Lopes, que, por ser o Primeiro <<Suplente de Vereador>> pelo Movimento Democrático Brasileiro (MDB), foi convocado pela Mesa Diretora / Mesa Executiva para tomar posse como Vereador em face do afastamento do Excelentíssimo Vereador Sérgio Alberto Corrêa da Rocha (Serginho), do MDB, que assumiu"
25,"30_alta",FALSE,"M2020_70718_13_40660_250000929669","3548500","2022-09-26","alta","licenca","licenca","nome_completo_no_trecho",NA,"BENEDITO FURTADO DE ANDRADE","https://data.queridodiario.ok.org.br/3548500/2022-09-26/76d97afde61002625accce75de1d6c53d00f7266.pdf","1138/2022. JEAN RODRIGUES TEIXEIRA SECRETÁRIO LEGISLATIVO A Câmara Municipal de Santos aprovou, na 52ª Sessão Ordinária realizada, em 13 de setembro de 2022, e a Mesa Diretora promulga a seguinte: RESOLUÇÃO Nº 17 13 DE SETEMBRO DE 2022 <<LICENÇA DO VEREADOR>> BENEDITO FURTADO DE ANDRADE E DÁ OUTRAS PROVIDÊNCIAS Art. 1º Fica concedida licença para tratar de interesse particular, no período de 12/09/22 a 16/09/2022, ao Vereador Benedito Furtado de An- drade, na forma do inciso III, do artigo 73"
26,"30_alta",FALSE,"M2020_90514_13_45123_120001151837","5002704","2023-05-24","alta","licenca","licenca","nome_completo_no_trecho",NA,"JOÃO BATISTA DA ROCHA","https://data.queridodiario.ok.org.br/5002704/2023-05-24/d88aa2ada46b1f94d6baa501c6fe82212115b4b1.pdf","Interno, em decorrência da licença do vereador João Batista da Rocha. Após, usou da palavra o senhor João Batista da Rocha, vereador licenciado. Ato contínuo, o senhor Cláudio Jordão de Almeida Serra Filho realizou a entrega do diploma de <<suplente de vereador>>, conferido pelo Tribunal Regional Eleitoral de Mato Grosso do Sul (TRE-MS), da declaração de bens e da declaração de que não possui incompatibilidade para o exercício do mandato. Prosseguindo, o senhor Cláudio Jordão de Almeida Serra Filho"
27,"30_alta",FALSE,"M2020_78875_13_17777_160000775291","4125605","2023-08-07","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JECIEL FERREIRA FRANCO","https://data.queridodiario.ok.org.br/4125605/2023-08-07/3ba556b855e7c956e3aa4ef3acfcf69722e3df77.pdf","da Mesa Diretora e todo o procedimento foi realizado nos termos do artigo 12 do Regimento Interno da Câmara Municipal de São Mateus do Sul, conforme processo administrativo n° 001/2023. Art. 1° Fica declarada a <<perda do mandato>> do Vereador Jeciel Ferreira Franco – Partido União Brasil, a partir de 7 agosto de 2023, conforme processo administrativo n° 001/2023, tendo em vista o disposto no artigo 15, III da Constituição Federal e artigo 36, IV da Lei Orgânica Municipal. Art. 2° Este Decreto Legislativo"
28,"30_alta",FALSE,"M2020_58130_11_12_190001150041","3300704","2023-07-17","alta","falecimento","falecimento","nome_completo_no_trecho",NA,"JOSÉ BONIFÁCIO FERREIRA NOVELLINO","https://data.queridodiario.ok.org.br/3300704/2023-07-17/1a7c6c7cc97f9169ce5c26006f39e5a459c68459.pdf","personalidade e homem público, DECRETA: Art. 1º Será observado ponto facultativo, no expediente das entidades e órgãos públicos da Administração Pública Municipal Direta e Indireta no dia 17 de julho de 2023, em razão do <<falecimento do Prefeito>> José Bonifácio Ferreira Novellino. Art. 2º Deverão ser garantidos os serviços e atividades essenciais, tais como atendimento médico de urgência (Unidade de Pronto Atendimento 24 horas – UPA e Hospital Central de Emergência - HCE), e"
29,"30_alta",FALSE,"M2020_58530_13_55055_190000632649","3302700","2021-02-12","alta","licenca","licenca","nome_completo_no_trecho",NA,"ROBSON DUTRA DA SILVA","https://data.queridodiario.ok.org.br/3302700/2021-02-12/b9d96f4f877a5d06b88ca35062d5f2dc9d204567.pdf","Suplente de Vereador, o Senhor Luís Felipe Paulino Auni – PSD – eleito em 15 de novembro de 2020 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de <<licença do Vereador>> Robson Dutra da Silva, que ocupará a Secretaria de Turismo da Prefeitura Municipal de Maricá. O Suplente empossou-se nesta data, prestando compromisso e posse, atendendo ao que preceitua o art. 91 § 1º, da Lei Orgânica do Município, e entrou"
30,"30_alta",FALSE,"M2020_58530_13_23990_190000738385","3302700","2022-05-23","alta","licenca","licenca","nome_completo_no_trecho",NA,"ADEMILTON DA SILVA DINIZ","https://data.queridodiario.ok.org.br/3302700/2022-05-23/059d024ffa9de2ef1a6396290f7a3ca0790fd58b.pdf","Suplente de Vereador, o Senhor Fabrício Soares Bittencourt eleito em 15 de novembro de 2020 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de <<licença do Vereador>> Ademilton da Silva Diniz (Tatai), que ocupará a Secretaria de Políticas para Terceira Idade da Prefeitura Municipal de Maricá. O Suplente empossou-se nesta data, prestando compromisso e pos- se, atendendo ao que preceitua o art. 91 § 1º, da"
