legislatura,nome,forma_saida,data_fim_exercicio,causa_original,url
12,Andre Correa,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,André Ceciliano,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,BRUNO DAUAIRE,licenca,,"deputado licenciado Bruno Dauaire , que a Assembleia Legislativa do Estado do Rio de Janeiro (Alerj) aprovou nesta terça-feira (11/05), em primeira discussão. O texto ainda precisa ser votado em segu",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2 ; https://www.alerj.rj.gov.br/Visualizar/Noticia/50550
12,Bebeto,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Brazão,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,CHICÃO BULHÕES,renuncia,2021-01-04,"assumiu a vaga deixada por Chicão Bulhões, atual secretário municipal de Desenvolvimento Econômico, Inovação e Simplificação do Rio, que renunciou ao mandato de deputado estadual para assumir a",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2 ; https://www.alerj.rj.gov.br/Visualizar/Noticia/50007
12,Carlos Macedo,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Carlos Minc,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Chico Machado,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Chiquinho Da Mangueira,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Coronel Jairo,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Coronel Salema,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,DR. SERGINHO,outro,,"Exerceram o mandato (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=2)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2
