legislatura,nome,condicao,ev_chave,ev_forte,ev_data,ev_origem,ultima_exerc,ult_licenciado,chegou_ao_fim_exerc,ev_contradito,forma_saida,aplicado,motivo
19,ROBERTA ARRAES,titular,licenca,FALSE,2019-09-12,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,ROMÁRIO DIAS,titular,licenca,FALSE,2021-08-19,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,ROMERO SALES FILHO,titular,licenca,FALSE,2019-08-02,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,SIMONE SANTANA,titular,licenca,FALSE,2019-11-05,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,TERESA LEITÃO,titular,licenca,FALSE,2022-12-08,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,WALDEMAR BORGES,titular,cassacao,FALSE,2021-06-14,noticia,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,DULCICLEIDE AMORIM,titular,licenca,FALSE,2019-05-15,do,2020-08-19,FALSE,FALSE,TRUE,outro,FALSE,serie mostra exercicio depois da data do ato
19,ALUÍSIO LESSA,titular,licenca,FALSE,2022-02-15,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,R ODRIGO NOVAES,titular,licenca,FALSE,2022-04-01,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,PRISCILA KRAUSE,titular,licenca,FALSE,2019-04-12,do,2022-12-20,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
19,DIOGO MORAES,titular,licenca,FALSE,2019-02-26,do,2023-01-27,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
20,AGLAILSON VICTOR,titular,licenca,FALSE,2025-02-05,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,ÁLVARO PORTO,titular,licenca,FALSE,2023-08-22,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,ANTONIO COELHO,titular,afastamento,FALSE,2023-09-28,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,ANTONIO MORAES,titular,licenca,FALSE,2023-11-14,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,CLAUDIANO MARTINS FILHO,titular,licenca,FALSE,2024-10-16,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,CORONEL ALBERTO FEITOSA,titular,licenca,FALSE,2023-09-26,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,DÉBORA ALMEIDA,titular,licenca,FALSE,2023-08-04,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,ERIBERTO FILHO,titular,afastamento,FALSE,2026-04-10,noticia,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,FABRIZIO FERRAZ,titular,licenca,FALSE,2023-10-17,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,FRANCE HACKER,titular,licenca,FALSE,2024-02-27,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,GILMAR JÚNIOR,titular,licenca,FALSE,2026-05-15,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,IZAIAS REGIS,titular,licenca,FALSE,2023-02-28,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,JOÃO DE NADEGI,titular,licenca,FALSE,2023-11-02,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,JOAOZINHO TENÓRIO,titular,licenca,FALSE,2024-03-01,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,JOEL DA HARPA,titular,licenca,FALSE,2023-03-16,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,JOSÉ PATRIOTA,titular,falecimento,FALSE,2024-09-17,noticia,2024-09-25,FALSE,FALSE,FALSE,falecimento,TRUE,aplicado
20,KAIO MANIÇOBA,titular,afastamento,FALSE,2025-03-27,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,LUCIANO DUQUE,titular,licenca,FALSE,2023-11-02,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,LULA CABRAL,titular,licenca,FALSE,2023-10-06,do,2024-12-25,FALSE,FALSE,TRUE,outro,FALSE,serie mostra exercicio depois da data do ato
20,MÁRIO RICARDO,titular,licenca,FALSE,2023-10-31,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,PASTOR CLEITON COLLINS,titular,licenca,FALSE,2024-12-20,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,RENATO ANTUNES,titular,renuncia,FALSE,2023-03-08,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,RODRIGO FARIAS,titular,licenca,FALSE,2023-11-21,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
