uf,sg_ue,ano_eleicao_bocel,sistema,nome_fonte,nome_parlamentar,nome_bocel,metodo_pareamento,forma_saida,tipo_afastamento,id_mandato_bocel,url
SP,62200,2024,generico,Carla Adriana do Amaral,Carla Adriana do Amaral,CARLA ADRIANA DO AMARAL,nome_completo,nao_observado,,M2024_62200_13_10666_250002170011,https://camarasantasalete.sp.gov.br/parlamentares
MG,51616,2024,digitaliza,Manoel Messias Ferreira Santos,Manoel Messias Ferreira Santos,MANOEL MESSIAS FERREIRA SANTOS,nome_completo,nao_observado,,M2024_51616_13_44555_130002050178,https://camarasantamariadosalto.mg.gov.br/vereadores/5/detalhes
SP,64157,2000,generico_secoes,Geraldo Pereira Lins,Geraldo Pereira Lins,GERALDO PEREIRA LINS,nome_completo,nao_observado,,M2000_64157_13_14618_41,https://www.ferrazdevasconcelos.sp.leg.br/legislaturas.php
SP,64572,2024,webline,PATRICIA CRISTINA CAETANO DO NASCIMENTO,PATRICIA CRISTINA CAETANO DO NASCIMENTO,PATRICIA CRISTINA CAETANO DO NASCIMENTO,nome_completo,nao_observado,,M2024_64572_13_55455_250002309483,https://camaraguaracai.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=123&idleg=19
PB,21172,2024,generico,VALTIDE PAULINO SANTOS,VALTIDE PAULINO SANTOS,VALTIDE PAULINO SANTOS,nome_completo,nao_observado,,M2024_21172_13_10000_150001979269,https://camarapatos.pb.gov.br/a-camara/mesa-diretora
MG,45730,2024,legisoft,Rosilene Aparecida da Silva,Rosilene Aparecida da Silva,ROSILENE APARECIDA DA SILVA,nome_completo,nao_observado,,M2024_45730_13_22023_130001903354,https://www.camaraguaxupe.mg.gov.br/vereador/rosilene-aparecida-da-silva-223
TO,92525,2024,generico_secoes,LAIS DO TUPÃ,LAIS DO TUPÃ,LAIS RODRIGUES DE SOUZA,nome_fonte=nome_urna,nao_observado,,M2024_92525_13_22111_270002061639,https://www.praianorte.to.leg.br/vereador/21
RS,89435,2024,generico,Mateus dos Santos Essvein,Mateus dos Santos Essvein,MATEUS DOS SANTOS ESSVEIN,nome_completo,nao_observado,,M2024_89435_13_15000_210001918539,https://camaratriunfo.rs.gov.br/?pg=index&lc=vereadores&int=ver-vereador&id=29
RN,18856,2024,wordpress_cpt,JOSE TIAGO SANTANA NETO DE FARIAS,JOSE TIAGO SANTANA NETO DE FARIAS,JOSE TIAGO SANTANA NETO DE FARIAS,nome_completo,nao_observado,,M2024_18856_13_11000_200001927768,https://cmtouros.rn.gov.br/vereadores/jose-tiago-santana-neto-de-farias/
RS,88064,2024,legisoft,Normélio João Reckers,Normélio João Reckers,NORMELIO JOÃO RECKERS,nome_completo,nao_observado,,M2024_88064_13_22789_210001965933,https://www.cmvs.rs.gov.br/vereador/normelio-joao-reckers-100059
SP,63134,2000,generico_secoes,Emília Vieira Ramalho,Emília Vieira Ramalho,EMILIA VIEIRA RAMALHO,nome_completo,nao_observado,,M2000_63134_13_15651_257,https://www.camaracarapicuiba.sp.gov.br/vereadores/legislaturas
RS,85618,2020,legisoft,Luis Carlos Azevedo da Rosa,Luis Carlos Azevedo da Rosa,LUIS CARLOS AZEVEDO DA ROSA,nome_completo,nao_observado,,M2020_85618_13_17577_210000803536,https://cmcachoeirinha.rs.gov.br/vereador/luis-carlos-azevedo-da-rosa-3000040
MG,53198,2024,generico,Nivaldo José de Paiva,Nivaldo José de Paiva,NIVALDO JOSÉ DE PAIVA,nome_completo,nao_observado,,M2024_53198_13_22333_130002045210,https://camarasenhoradeoliveira.mg.gov.br/vereador.php?postId=10
SP,70475,2024,generico,Josildo Ribeiro,Josildo Ribeiro,JOSILDO RIBEIRO DA SILVA,nome_fonte=nome_urna,nao_observado,,M2024_70475_13_15100_250002057219,https://camarasantanadeparnaiba.sp.gov.br/vereadores
PR,75000,2024,generico_secoes,Nilson Oliveira de Barcellos,Nilson Oliveira de Barcellos,NILSON OLIVEIRA DE BARCELLOS,nome_completo,nao_observado,,M2024_75000_13_40000_160002189519,https://www.camaraitaipulandia.pr.gov.br//index.php?sessao=b0546033680pb0
MT,89974,2004,generico_secoes,JOÃO PINHEIRO,JOÃO PINHEIRO,JOAO PINHEIRO,nome_completo,nao_observado,,M2004_89974_13_15605_343,https://saltodoceu.mt.leg.br/institucional/legislaturas/legislatura-de-2005-a-2008/55-joao-pinheiro
RS,89753,2024,wordpress_cpt_generico_secoes,Fabiana Secretti,Fabiana Secretti,FABIANA SECRETTI,nome_completo,nao_observado,,M2024_89753_13_12000_210002265401,https://www.camarasaltodojacui.rs.gov.br/fabiana-secretti/
PI,12190,2024,wordpress_cpt_generico,Enzo Samuel,Enzo Samuel,ENZO SAMUEL ALENCAR SILVA,nome_fonte=nome_urna,nao_observado,,M2024_12190_13_12123_180001926305,https://www.teresina.pi.leg.br/vereadores/enzo-samuel
SP,64157,2012,generico_secoes,Luiz Fábio Alves da Silva,Luiz Fábio Alves da Silva,LUIZ FABIO ALVES DA SILVA,nome_completo,nao_observado,,M2012_64157_13_45602_250000058100,https://www.ferrazdevasconcelos.sp.leg.br/legislaturas.php
RS,86436,2024,wordpress_cpt_generico,Lucas Camargo Manfio,Lucas Camargo Manfio,LUCAS CAMARGO MANFIO,nome_completo,nao_observado,,M2024_86436_13_12444_210002123361,https://camaraervalseco.rs.gov.br/camara/vereadores
MG,45950,2000,legisoft,Jorge Pimenta,Jorge Pimenta,JORGE MELQUÍADES PIMENTA,tokens_nome_fonte_no_nome_civil,nao_observado,,M2000_45950_13_28123_383,https://www.camaraibirite.mg.gov.br/vereador/jorge-melquiades-pimenta-100250
SC,80063,2012,generico_select,JAISON CLEMENTE FERNANDES,JAISON CLEMENTE FERNANDES,JAISON CLEMENTE FERNANDES,nome_completo,nao_observado,,M2012_80063_13_15600_240000010108,https://camaraapiuna.sc.gov.br/vereador/2013/4/jaison-clemente-fernandes
SP,61620,2016,webline,FABIO BUENO DA SILVA,Fabinho do Peixinho,FABIO BUENO DA SILVA,nome_completo,fim_regular,,M2016_61620_13_14777_250000037808,https://camaratuiuti.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=45&idleg=7
PR,78654,2012,generico_secoes,Luís Antônio Monteiro,Luís Antônio Monteiro,LUIS ANTONIO MONTEIRO,nome_completo,nao_observado,,M2012_78654_13_15222_160000012262,https://www.cmsantoinacio.pr.gov.br//index.php?sessao=b054603368v1b0&id=20097
MG,40290,2012,legisoft,Vicente de Paula Gomes,Vicente de Paula Gomes,VICENTE DE PAULA GOMES,nome_completo,nao_observado,,M2012_40290_13_36010_130000068523,https://www.alemparaiba.mg.leg.br/vereador/vicente-de-paula-gomes-82
SP,61484,2004,webline,SIMÃO APARECIDO DE OLIVEIRA,SIMÃO APARECIDO DE OLIVEIRA,SIMÃO APARECIDO DE OLIVEIRA,nome_completo,fim_regular,,M2004_61484_13_22233_445,https://camaracajati.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=36&idleg=5
SP,62952,2020,webline,Gustavo José Maximino Silva,Gustavo Maximino,GUSTAVO JOSÉ MAXIMINO SILVA,nome_completo,fim_regular,,M2020_62952_13_25123_250000802146,https://camaracamposdojordao.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=9&idleg=1
