"tabela","id_mandato","nome","forma","achou","url","trecho","url_2","trecho_2","data_evento","precisao"
"eventos_governos_fonte_oficial.csv","M2018_RJ_4_20_190000612303","CLÁUDIO BOMFIM DE CASTRO E SILVA","assumiu_titular",TRUE,"https://www.alerj.rj.gov.br/Visualizar/Noticia/50489","A Assembleia Legislativa do Rio de Janeiro (Alerj) deu posse, neste sábado (01/05), ao governador Cláudio Castro, para exercer o mandato até dezembro de 2022.",NA,NA,"2021-05-01","ato"
"eventos_governos_fonte_oficial.csv","M2018_RS_3_45_210000622367","EDUARDO FIGUEIREDO CAVALHEIRO LEITE","renuncia",TRUE,"https://www.palaciopiratini.rs.gov.br/ranolfo-vieira","Com a renúncia de Leite, Ranolfo se tornou governador em 31 de março de 2022.",NA,NA,"2022-03-31","ato"
"eventos_governos_fonte_oficial.csv","M2018_RS_4_45_210000622362","RANOLFO VIEIRA JUNIOR","assumiu_titular",FALSE,NA,NA,NA,NA,"2022-03-31","ato"
"eventos_governos_fonte_oficial.csv","M2018_SP_3_45_250000612596","JOÃO AGRIPINO DA COSTA DORIA JUNIOR","renuncia",FALSE,NA,NA,NA,NA,"2022-03-31","ato"
"eventos_governos_fonte_oficial.csv","M2018_SP_4_45_250000612597","RODRIGO GARCIA","assumiu_titular",FALSE,NA,NA,NA,NA,"2022-04-01","ato"
"eventos_governos_fonte_oficial.csv","M2022_AC_3_11_10001612476","GLADSON DE LIMA CAMELI","renuncia",TRUE,"https://sapl.al.ac.leg.br/media/sapl/public/materialegislativa/2026/19142/msg-n-2379-poder_executivo.pdf","Comunico a Vossa Excelência, com fundamento no art. 76 da Constituição do Estado do Acre que, nos termos do § 6º do art. 14 da Constituição da República, decidi renunciar ao cargo de Governador do Estado do Acre, com efeitos a contar de 2 de abril de 2026.","https://sapl.al.ac.leg.br/materia/19142","Ficha de tramitacao da Mensagem do Executivo (registrada como Mensagem no 1/2026 no SAPL da Aleac, correspondente a Mensagem Governamental no 2379, de 23/03/2026).","2026-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2022_AC_4_11_10001612477","MAILZA ASSIS DA SILVA","assumiu_titular",TRUE,"https://sapl.al.ac.leg.br/media/sapl/public/materialegislativa/2026/19142/msg-n-2379-poder_executivo.pdf","nossa Vice-Governadora do Estado, Mailza Assis Cameli, assumirá a chefia do Poder Executivo estadual, garantindo a continuidade das políticas públicas e das ações governamentais em curso, preservando os compromissos assumidos com a população do Estado do Acre.","https://sapl.al.ac.leg.br/materia/19142","Ficha de tramitacao da Mensagem do Executivo (registrada como Mensagem no 1/2026 no SAPL da Aleac, correspondente a Mensagem Governamental no 2379, de 23/03/2026).","2026-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2022_AM_3_44_40001619528","WILSON MIRANDA LIMA","renuncia",TRUE,"https://www.aleam.gov.br/diario/edicao-no2419/","EU, WILSON MIRANDA LIMA, GOVERNADOR DO ESTADO DO AMAZONAS, [...] COMUNICAR MINHA RENÚNCIA AO CARGO DE GOVERNADOR DO ESTADO, EM CARÁTER IRREVOGÁVEL E IRRETRATÁVEL. [...] ESTA RENÚNCIA PRODUZ EFEITOS IMEDIATOS A PARTIR DESTA DATA DE 4 DE ABRIL DE 2026.",NA,NA,"2026-04-04","ato"
"eventos_governos_fonte_oficial.csv","M2022_AM_4_44_40001619527","TADEU DE SOUZA SILVA","renuncia",TRUE,"https://www.aleam.gov.br/diario/edicao-no2419/","Tadeu de Souza Silva, Vice Governador do Estado do Amazonas, [...] venho, respeitosamente, [...] comunicar minha RENÚNCIA ao cargo de Vice-Governador do Estado. [...] Manaus, 04 de abril de 2026. Tadeu de Souza Silva. Vice-Governador",NA,NA,"2026-04-04","ato"
"eventos_governos_fonte_oficial.csv","M2022_ES_3_40_80001649123","JOSÉ RENATO CASAGRANDE","renuncia",FALSE,NA,NA,NA,NA,"2026-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2022_ES_4_40_80001649124","RICARDO DE REZENDE FERRAÇO","assumiu_titular",FALSE,NA,NA,NA,NA,"2026-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2022_MT_3_44_110001643543","MAURO MENDES FERREIRA","renuncia",TRUE,"https://www.secom.mt.gov.br/w/otaviano-pivetta-toma-posse-como-governador-de-mato-grosso-com-foco-em-parcerias-com-munic%C3%ADpios","O governador Otaviano Pivetta tomou posse nesta terça-feira (31.3), em cerimônia na Assembleia Legislativa de Mato Grosso, em Cuiabá. Depois, Otaviano recebeu a faixa governamental do ex-governador Mauro Mendes em evento no Allure Hall.",NA,NA,"2026-03-31","ato"
"eventos_governos_fonte_oficial.csv","M2022_MT_4_44_110001643542","OTAVIANO OLAVO PIVETTA","assumiu_titular",TRUE,"https://www.secom.mt.gov.br/w/otaviano-pivetta-toma-posse-como-governador-de-mato-grosso-com-foco-em-parcerias-com-munic%C3%ADpios","O governador Otaviano Pivetta tomou posse nesta terça-feira (31.3), em cerimônia na Assembleia Legislativa de Mato Grosso, em Cuiabá. Depois, Otaviano recebeu a faixa governamental do ex-governador Mauro Mendes em evento no Allure Hall.",NA,NA,"2026-03-31","ato"
"eventos_governos_fonte_oficial.csv","M2022_PB_3_40_150001613757","JOÃO AZEVEDO LINS FILHO","renuncia",TRUE,"https://web.archive.org/web/20260519012625/https://ouvidoria.pb.gov.br/noticias/lucas-ribeiro-assume-governo-da-pb","O advogado Lucas Ribeiro, que ocupava o posto de vice-governador do estado, foi conduzido ao posto máximo do Executivo estadual após a renúncia do ex-governador João Azevêdo em decorrência do período de descompatibilização do calendário eleitoral",NA,NA,"2026-04-02","ato"
"eventos_governos_fonte_oficial.csv","M2022_RJ_3_22_190001615753","CLÁUDIO BOMFIM DE CASTRO E SILVA","renuncia",TRUE,"https://agenciabrasil.ebc.com.br/politica/noticia/2026-03/entenda-o-que-acontece-no-rio-com-renuncia-de-claudio-castro","O ex-governador do Rio de Janeiro, Cláudio Castro, renunciou nesta segunda-feira (23) ao cargo",NA,NA,"2026-03-23","ato"
"eventos_governos_fonte_oficial.csv","M2022_RJ_4_22_190001738844","THIAGO PAMPOLHA GONÇALVES","renuncia",TRUE,"https://www.alerj.rj.gov.br/Visualizar/Noticia/76016","Logo após o fim da votação que aprovou seu nome ao TCE, Pampolha encaminhou comunicado oficializando sua renúncia ao cargo de vice-governador, que foi lido ainda em plenário pelo presidente da Alerj.",NA,NA,"2025-05-21","ato"
"eventos_governos_fonte_oficial.csv","M2022_RR_3_11_230001604255","ANTONIO OLIVERIO GARCIA DE ALMEIDA","renuncia",TRUE,"https://web.archive.org/web/20260420070659/https://portal.rr.gov.br/antonio-denarium-encerra-ciclo-com-balanco-de-gestao-e-transmite-cargo-de-governador-a-edilson-damiao/","O governador Antonio Denarium assinou, nesta sexta-feira, 27, o termo de renúncia ao cargo durante Sessão Solene realizada na Assembleia Legislativa Estadual. Com o ato, ele transmitiu o Executivo estadual para o agora recém-empossado governador Edilson Damião",NA,NA,"2026-03-27","ato"
"eventos_governos_fonte_oficial.csv","M2022_RR_4_11_230001604254","EDILSON DAMIÃO LIMA","assumiu_titular",TRUE,"https://web.archive.org/web/20260420070659/https://portal.rr.gov.br/antonio-denarium-encerra-ciclo-com-balanco-de-gestao-e-transmite-cargo-de-governador-a-edilson-damiao/","O governador Antonio Denarium assinou, nesta sexta-feira, 27, o termo de renúncia ao cargo durante Sessão Solene realizada na Assembleia Legislativa Estadual. Com o ato, ele transmitiu o Executivo estadual para o agora recém-empossado governador Edilson Damião",NA,NA,"2026-03-27","ato"
